T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E-2     4.0784E-41    2.5279E-66    1.7020E-90    5.4610E-72    2.9594E-121   2.5924E-172   2.3169E-125   4.9340E-136   2.4710E-125   1.8161E-187   4.2365E-216   4.2365E-216   1.1872E-42    2.3143E-131   8.9816E-93    1.1216E-111   4.2365E-216   1.0000E+0     9.1158E-189   4.2365E-216   6.1655E-77    8.2586E-146   4.2365E-216   1.9107E-209   1.2569E-212   4.0003E-104   1.6009E-158   3.0790E-153   4.7746E-167   3.9335E-212   4.2365E-216   2.2574E-189   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.4728E-193   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.2648E-187   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0080.00       3.0000E-2     1.3595E-41    8.4262E-67    5.6734E-91    1.8203E-72    9.8645E-122   8.6412E-173   7.7231E-126   1.6447E-136   8.2367E-126   6.0536E-188   4.2365E-216   4.2365E-216   3.9572E-43    7.7143E-132   2.9939E-93    3.7386E-112   4.2365E-216   1.0000E+0     5.2630E-189   4.2365E-216   3.5596E-77    2.7529E-146   4.2365E-216   6.3689E-210   4.1897E-213   1.3334E-104   5.3363E-159   1.0263E-153   1.5915E-167   1.3112E-212   4.2365E-216   7.5245E-190   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   8.2428E-194   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2160E-188   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       1.0000E-2     1.4188E-35    2.5071E-58    1.9310E-79    4.3211E-63    6.7251E-107   1.3442E-152   3.6029E-110   1.1694E-119   3.7880E-110   1.0842E-165   4.2365E-216   4.2365E-216   7.6608E-37    7.8149E-116   1.7936E-81    3.4162E-98    4.2365E-216   1.0000E+0     3.2165E-167   4.2365E-216   6.2396E-68    1.1062E-128   1.9319E-206   2.9847E-185   4.3411E-188   2.5964E-91    5.5833E-140   3.8499E-135   2.2778E-147   9.4108E-188   4.2365E-216   4.6977E-167   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.7513E-215   1.6104E-170   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.4045E-213   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.3629E-165   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       3.0000E-2     4.7292E-36    8.3569E-59    6.4368E-80    1.4404E-63    2.2417E-107   4.4808E-153   1.2010E-110   3.8978E-120   1.2627E-110   3.6139E-166   4.2365E-216   4.2365E-216   2.5536E-37    2.6050E-116   5.9788E-82    1.1387E-98    4.2365E-216   1.0000E+0     1.8570E-167   4.2365E-216   3.6024E-68    3.6873E-129   6.4396E-207   9.9491E-186   1.4470E-188   8.6546E-92    1.8611E-140   1.2833E-135   7.5928E-148   3.1369E-188   4.2365E-216   1.5659E-167   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.1711E-216   5.3682E-171   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.6817E-214   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   7.8764E-166   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       1.0000E-2     3.8267E-31    6.2962E-52    1.3370E-70    5.6957E-56    2.0651E-95    8.0425E-137   5.0150E-98    1.4396E-106   5.2161E-98    2.8739E-148   3.1586E-205   4.2365E-216   3.4005E-32    2.0042E-103   1.9798E-72    2.0935E-87    4.2365E-216   1.0000E+0     5.5791E-150   4.2365E-216   9.7854E-61    5.5310E-115   3.0653E-185   6.7376E-166   1.8511E-168   4.5958E-81    3.8315E-125   1.1564E-120   1.2610E-131   3.0271E-168   4.2365E-216   3.3671E-149   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.1016E-192   2.8537E-152   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.0158E-191   4.2365E-216   4.2365E-216   4.2365E-216   2.6368E-203   4.2365E-216   4.2365E-216   4.2365E-216   1.5251E-147   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       3.0000E-2     1.2756E-31    2.0987E-52    4.4568E-71    1.8986E-56    6.8838E-96    2.6808E-137   1.6717E-98    4.7987E-107   1.7387E-98    9.5798E-149   1.0529E-205   4.2365E-216   1.1335E-32    6.6806E-104   6.5995E-73    6.9783E-88    4.2365E-216   1.0000E+0     3.2211E-150   4.2365E-216   5.6496E-61    1.8437E-115   1.0218E-185   2.2459E-166   6.1703E-169   1.5319E-81    1.2772E-125   3.8546E-121   4.2034E-132   1.0090E-168   4.2365E-216   1.1224E-149   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.6718E-193   9.5122E-153   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.3386E-191   4.2365E-216   4.2365E-216   4.2365E-216   8.7894E-204   4.2365E-216   4.2365E-216   4.2365E-216   5.0837E-148   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0110.00       1.0000E-2     1.6080E-27    1.0906E-46    2.2714E-63    3.8197E-50    5.1914E-86    6.5758E-124   4.2458E-88    7.2563E-96    4.3797E-88    5.2012E-134   1.1310E-185   1.0631E-207   2.1548E-28    2.7764E-93    4.9829E-65    1.4033E-78    4.2365E-216   1.0000E+0     7.1166E-136   4.2365E-216   7.4235E-55    8.8913E-104   6.7635E-168   4.5936E-150   2.1259E-152   1.1107E-72    5.3004E-113   8.0997E-109   9.5893E-119   2.7872E-152   4.2365E-216   1.3702E-134   4.2365E-216   4.2365E-216   4.2365E-216   3.0103E-209   2.4628E-202   3.4038E-174   2.4203E-137   4.2365E-216   4.9784E-214   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.5396E-173   4.2365E-216   4.2365E-216   4.2261E-207   1.4097E-183   4.2365E-216   4.2365E-216   4.2365E-216   5.6111E-133   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.9167E-214   
0110.00       3.0000E-2     5.3602E-28    3.6352E-47    7.5712E-64    1.2732E-50    1.7305E-86    2.1919E-124   1.4153E-88    2.4188E-96    1.4599E-88    1.7337E-134   3.7700E-186   3.5437E-208   7.1828E-29    9.2548E-94    1.6610E-65    4.6778E-79    4.2365E-216   1.0000E+0     4.1088E-136   4.2365E-216   4.2860E-55    2.9638E-104   2.2545E-168   1.5312E-150   7.0864E-153   3.7022E-73    1.7668E-113   2.6999E-109   3.1964E-119   9.2906E-153   4.2365E-216   4.5675E-135   4.2365E-216   4.2365E-216   4.2365E-216   1.0034E-209   8.2094E-203   1.1346E-174   8.0677E-138   4.2365E-216   1.6595E-214   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.1798E-173   4.2365E-216   4.2365E-216   1.4087E-207   4.6991E-184   4.2365E-216   4.2365E-216   4.2365E-216   1.8704E-133   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.7224E-215   
0120.00       1.0000E-2     1.6763E-24    2.5411E-42    2.3934E-57    2.7436E-45    3.5505E-78    3.8184E-113   7.8411E-80    5.9289E-87    8.0364E-80    3.9740E-122   2.2360E-169   9.6062E-190   3.1715E-25    7.6803E-85    7.3556E-59    3.1816E-71    4.2365E-216   1.0000E+0     4.0531E-124   8.7200E-203   5.8168E-50    1.9306E-94    1.9118E-153   7.1766E-137   5.1338E-139   1.0724E-65    6.9733E-103   6.0203E-99    5.2027E-108   5.6437E-139   4.2365E-216   2.0508E-122   4.2365E-216   3.0702E-200   4.2365E-216   4.3584E-191   1.4254E-184   8.6653E-159   6.6455E-125   5.4385E-210   1.8045E-195   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.9712E-157   4.2365E-216   4.2365E-216   8.7635E-189   3.8266E-167   4.2365E-216   4.2365E-216   4.2365E-216   7.6244E-121   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.8066E-195   
0120.00       3.0000E-2     5.5876E-25    8.4704E-43    7.9779E-58    9.1454E-46    1.1835E-78    1.2728E-113   2.6137E-80    1.9763E-87    2.6788E-80    1.3247E-122   7.4535E-170   3.2020E-190   1.0572E-25    2.5601E-85    2.4519E-59    1.0605E-71    4.2365E-216   1.0000E+0     2.3400E-124   5.0345E-203   3.3584E-50    6.4352E-95    6.3728E-154   2.3922E-137   1.7113E-139   3.5747E-66    2.3244E-103   2.0068E-99    1.7342E-108   1.8812E-139   4.2365E-216   6.8361E-123   4.2365E-216   1.0234E-200   4.2365E-216   1.4528E-191   4.7513E-185   2.8884E-159   2.2152E-125   1.8128E-210   6.0151E-196   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.5706E-158   4.2365E-216   4.2365E-216   2.9212E-189   1.2755E-167   4.2365E-216   4.2365E-216   4.2365E-216   2.5415E-121   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.0218E-196   
