T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E-3     4.0784E-40    2.5279E-65    1.7020E-89    5.4610E-71    2.9594E-120   2.5924E-171   2.3169E-124   4.9340E-135   2.4710E-124   1.8161E-186   4.2365E-216   4.2365E-216   1.1872E-41    2.3143E-130   8.9816E-92    1.1216E-110   4.2365E-216   1.0000E+0     2.8827E-188   4.2365E-216   1.9497E-76    8.2586E-145   4.2365E-216   1.9107E-208   1.2569E-211   4.0003E-103   1.6009E-157   3.0790E-152   4.7746E-166   3.9335E-211   4.2365E-216   2.2574E-188   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.4728E-192   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.2648E-186   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0080.00       3.0000E-3     1.3595E-40    8.4262E-66    5.6734E-90    1.8203E-71    9.8645E-121   8.6412E-172   7.7231E-125   1.6447E-135   8.2367E-125   6.0536E-187   4.2365E-216   4.2365E-216   3.9572E-42    7.7143E-131   2.9939E-92    3.7386E-111   4.2365E-216   1.0000E+0     1.6643E-188   4.2365E-216   1.1257E-76    2.7529E-145   4.2365E-216   6.3689E-209   4.1897E-212   1.3334E-103   5.3363E-158   1.0263E-152   1.5915E-166   1.3112E-211   4.2365E-216   7.5245E-189   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   8.2428E-193   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2160E-187   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       1.0000E-3     1.4188E-34    2.5071E-57    1.9310E-78    4.3211E-62    6.7251E-106   1.3442E-151   3.6029E-109   1.1694E-118   3.7880E-109   1.0842E-164   4.2365E-216   4.2365E-216   7.6608E-36    7.8149E-115   1.7936E-80    3.4162E-97    4.2365E-216   1.0000E+0     1.0171E-166   4.2365E-216   1.9731E-67    1.1062E-127   1.9319E-205   2.9847E-184   4.3411E-187   2.5964E-90    5.5833E-139   3.8499E-134   2.2778E-146   9.4108E-187   4.2365E-216   4.6977E-166   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.7513E-214   1.6104E-169   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.4045E-212   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.3629E-164   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       3.0000E-3     4.7292E-35    8.3569E-58    6.4368E-79    1.4404E-62    2.2417E-106   4.4808E-152   1.2010E-109   3.8978E-119   1.2627E-109   3.6139E-165   4.2365E-216   4.2365E-216   2.5536E-36    2.6050E-115   5.9788E-81    1.1387E-97    4.2365E-216   1.0000E+0     5.8725E-167   4.2365E-216   1.1392E-67    3.6873E-128   6.4396E-206   9.9491E-185   1.4470E-187   8.6546E-91    1.8611E-139   1.2833E-134   7.5928E-147   3.1369E-187   4.2365E-216   1.5659E-166   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.1711E-215   5.3682E-170   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.6817E-213   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   7.8764E-165   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       1.0000E-3     3.8267E-30    6.2962E-51    1.3370E-69    5.6957E-55    2.0651E-94    8.0425E-136   5.0150E-97    1.4396E-105   5.2161E-97    2.8739E-147   3.1586E-204   4.2365E-216   3.4005E-31    2.0042E-102   1.9798E-71    2.0935E-86    4.2365E-216   1.0000E+0     1.7643E-149   4.2365E-216   3.0944E-60    5.5310E-114   3.0653E-184   6.7376E-165   1.8511E-167   4.5958E-80    3.8315E-124   1.1564E-119   1.2610E-130   3.0271E-167   4.2365E-216   3.3671E-148   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.1016E-191   2.8537E-151   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.0158E-190   4.2365E-216   4.2365E-216   4.2365E-216   2.6368E-202   4.2365E-216   4.2365E-216   4.2365E-216   1.5251E-146   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       3.0000E-3     1.2756E-30    2.0987E-51    4.4568E-70    1.8986E-55    6.8838E-95    2.6808E-136   1.6717E-97    4.7987E-106   1.7387E-97    9.5798E-148   1.0529E-204   4.2365E-216   1.1335E-31    6.6806E-103   6.5995E-72    6.9783E-87    4.2365E-216   1.0000E+0     1.0186E-149   4.2365E-216   1.7866E-60    1.8437E-114   1.0218E-184   2.2459E-165   6.1703E-168   1.5319E-80    1.2772E-124   3.8546E-120   4.2034E-131   1.0090E-167   4.2365E-216   1.1224E-148   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.6718E-192   9.5122E-152   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.3386E-190   4.2365E-216   4.2365E-216   4.2365E-216   8.7894E-203   4.2365E-216   4.2365E-216   4.2365E-216   5.0837E-147   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0110.00       1.0000E-3     1.6080E-26    1.0906E-45    2.2714E-62    3.8197E-49    5.1914E-85    6.5758E-123   4.2458E-87    7.2563E-95    4.3797E-87    5.2012E-133   1.1310E-184   1.0631E-206   2.1548E-27    2.7764E-92    4.9829E-64    1.4033E-77    4.2365E-216   1.0000E+0     2.2505E-135   4.2365E-216   2.3475E-54    8.8913E-103   6.7635E-167   4.5936E-149   2.1259E-151   1.1107E-71    5.3004E-112   8.0997E-108   9.5893E-118   2.7872E-151   4.2365E-216   1.3702E-133   4.2365E-216   4.2365E-216   4.2365E-216   3.0103E-208   2.4628E-201   3.4038E-173   2.4203E-136   4.2365E-216   4.9784E-213   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.5396E-172   4.2365E-216   4.2365E-216   4.2261E-206   1.4097E-182   4.2365E-216   4.2365E-216   4.2365E-216   5.6111E-132   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.9167E-213   
0110.00       3.0000E-3     5.3602E-27    3.6352E-46    7.5712E-63    1.2732E-49    1.7305E-85    2.1919E-123   1.4153E-87    2.4188E-95    1.4599E-87    1.7337E-133   3.7700E-185   3.5437E-207   7.1828E-28    9.2548E-93    1.6610E-64    4.6778E-78    4.2365E-216   1.0000E+0     1.2993E-135   4.2365E-216   1.3553E-54    2.9638E-103   2.2545E-167   1.5312E-149   7.0864E-152   3.7022E-72    1.7668E-112   2.6999E-108   3.1964E-118   9.2906E-152   4.2365E-216   4.5675E-134   4.2365E-216   4.2365E-216   4.2365E-216   1.0034E-208   8.2094E-202   1.1346E-173   8.0677E-137   4.2365E-216   1.6595E-213   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.1798E-172   4.2365E-216   4.2365E-216   1.4087E-206   4.6991E-183   4.2365E-216   4.2365E-216   4.2365E-216   1.8704E-132   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.7224E-214   
0120.00       1.0000E-3     1.6763E-23    2.5411E-41    2.3934E-56    2.7436E-44    3.5505E-77    3.8184E-112   7.8411E-79    5.9289E-86    8.0364E-79    3.9740E-121   2.2360E-168   9.6062E-189   3.1715E-24    7.6803E-84    7.3556E-58    3.1816E-70    4.2365E-216   1.0000E+0     1.2817E-123   2.7575E-202   1.8394E-49    1.9306E-93    1.9118E-152   7.1766E-136   5.1338E-138   1.0724E-64    6.9733E-102   6.0203E-98    5.2027E-107   5.6437E-138   4.2365E-216   2.0508E-121   4.2365E-216   3.0702E-199   4.2365E-216   4.3584E-190   1.4254E-183   8.6653E-158   6.6455E-124   5.4385E-209   1.8045E-194   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.9712E-156   4.2365E-216   4.2365E-216   8.7635E-188   3.8266E-166   4.2365E-216   4.2365E-216   4.2365E-216   7.6244E-120   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.8066E-194   
0120.00       3.0000E-3     5.5876E-24    8.4704E-42    7.9779E-57    9.1454E-45    1.1835E-77    1.2728E-112   2.6137E-79    1.9763E-86    2.6788E-79    1.3247E-121   7.4535E-169   3.2020E-189   1.0572E-24    2.5601E-84    2.4519E-58    1.0605E-70    4.2365E-216   1.0000E+0     7.3999E-124   1.5920E-202   1.0620E-49    6.4352E-94    6.3728E-153   2.3922E-136   1.7113E-138   3.5747E-65    2.3244E-102   2.0068E-98    1.7342E-107   1.8812E-138   4.2365E-216   6.8361E-122   4.2365E-216   1.0234E-199   4.2365E-216   1.4528E-190   4.7513E-184   2.8884E-158   2.2152E-124   1.8128E-209   6.0151E-195   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.5706E-157   4.2365E-216   4.2365E-216   2.9212E-188   1.2755E-166   4.2365E-216   4.2365E-216   4.2365E-216   2.5415E-120   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.0218E-195   
