T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E+3     4.0784E-46    2.5279E-71    1.7020E-95    5.4610E-77    2.9594E-126   2.5924E-177   2.3169E-130   4.9340E-141   2.4710E-130   1.8161E-192   4.2365E-216   4.2365E-216   1.1872E-47    2.3143E-136   8.9816E-98    1.1216E-116   4.2365E-216   1.0000E+0     2.8827E-191   4.2365E-216   1.9497E-79    8.2586E-151   4.2365E-216   1.9107E-214   4.2365E-216   4.0003E-109   1.6009E-163   3.0790E-158   4.7746E-172   4.2365E-216   4.2365E-216   2.2574E-194   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.4728E-198   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.2648E-192   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0080.00       3.0000E+3     1.3595E-46    8.4262E-72    5.6734E-96    1.8203E-77    9.8645E-127   8.6412E-178   7.7231E-131   1.6447E-141   8.2367E-131   6.0536E-193   4.2365E-216   4.2365E-216   3.9572E-48    7.7142E-137   2.9939E-98    3.7386E-117   4.2365E-216   1.0000E+0     1.6643E-191   4.2365E-216   1.1256E-79    2.7529E-151   4.2365E-216   6.3689E-215   4.2365E-216   1.3334E-109   5.3363E-164   1.0263E-158   1.5915E-172   4.2365E-216   4.2365E-216   7.5245E-195   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   8.2428E-199   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2160E-193   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       1.0000E+3     1.4188E-40    2.5071E-63    1.9310E-84    4.3211E-68    6.7251E-112   1.3442E-157   3.6029E-115   1.1694E-124   3.7880E-115   1.0842E-170   4.2365E-216   4.2365E-216   7.6608E-42    7.8149E-121   1.7936E-86    3.4162E-103   4.2365E-216   1.0000E+0     1.0171E-169   4.2365E-216   1.9731E-70    1.1062E-133   1.9319E-211   2.9847E-190   4.3411E-193   2.5964E-96    5.5833E-145   3.8499E-140   2.2778E-152   9.4108E-193   4.2365E-216   4.6977E-172   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.6104E-175   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.3629E-170   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       3.0000E+3     4.7292E-41    8.3569E-64    6.4368E-85    1.4404E-68    2.2417E-112   4.4808E-158   1.2010E-115   3.8978E-125   1.2627E-115   3.6139E-171   4.2365E-216   4.2365E-216   2.5536E-42    2.6050E-121   5.9788E-87    1.1387E-103   4.2365E-216   1.0000E+0     5.8725E-170   4.2365E-216   1.1392E-70    3.6873E-134   6.4395E-212   9.9491E-191   1.4470E-193   8.6546E-97    1.8611E-145   1.2833E-140   7.5928E-153   3.1369E-193   4.2365E-216   1.5659E-172   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   5.3682E-176   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   7.8763E-171   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       1.0000E+3     3.8267E-36    6.2962E-57    1.3370E-75    5.6957E-61    2.0651E-100   8.0425E-142   5.0150E-103   1.4396E-111   5.2161E-103   2.8739E-153   3.1586E-210   4.2365E-216   3.4005E-37    2.0042E-108   1.9798E-77    2.0935E-92    4.2365E-216   1.0000E+0     1.7643E-152   4.2365E-216   3.0944E-63    5.5310E-120   3.0653E-190   6.7376E-171   1.8511E-173   4.5958E-86    3.8315E-130   1.1564E-125   1.2610E-136   3.0271E-173   4.2365E-216   3.3671E-154   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.1016E-197   2.8537E-157   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.0158E-196   4.2365E-216   4.2365E-216   4.2365E-216   2.6368E-208   4.2365E-216   4.2365E-216   4.2365E-216   1.5251E-152   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       3.0000E+3     1.2756E-36    2.0987E-57    4.4568E-76    1.8986E-61    6.8838E-101   2.6808E-142   1.6717E-103   4.7987E-112   1.7387E-103   9.5798E-154   1.0529E-210   4.2365E-216   1.1335E-37    6.6806E-109   6.5995E-78    6.9783E-93    4.2365E-216   1.0000E+0     1.0186E-152   4.2365E-216   1.7866E-63    1.8437E-120   1.0218E-190   2.2459E-171   6.1703E-174   1.5319E-86    1.2772E-130   3.8546E-126   4.2034E-137   1.0090E-173   4.2365E-216   1.1224E-154   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.6718E-198   9.5122E-158   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.3386E-196   4.2365E-216   4.2365E-216   4.2365E-216   8.7894E-209   4.2365E-216   4.2365E-216   4.2365E-216   5.0837E-153   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0110.00       1.0000E+3     1.6080E-32    1.0906E-51    2.2714E-68    3.8197E-55    5.1914E-91    6.5758E-129   4.2458E-93    7.2563E-101   4.3797E-93    5.2012E-139   1.1310E-190   1.0631E-212   2.1548E-33    2.7764E-98    4.9829E-70    1.4033E-83    4.2365E-216   1.0000E+0     2.2505E-138   4.2365E-216   2.3475E-57    8.8913E-109   6.7635E-173   4.5936E-155   2.1259E-157   1.1107E-77    5.3004E-118   8.0997E-114   9.5893E-124   2.7872E-157   4.2365E-216   1.3702E-139   4.2365E-216   4.2365E-216   4.2365E-216   3.0103E-214   2.4628E-207   3.4038E-179   2.4203E-142   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.5396E-178   4.2365E-216   4.2365E-216   4.2261E-212   1.4097E-188   4.2365E-216   4.2365E-216   4.2365E-216   5.6111E-138   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0110.00       3.0000E+3     5.3602E-33    3.6352E-52    7.5712E-69    1.2732E-55    1.7305E-91    2.1919E-129   1.4153E-93    2.4188E-101   1.4599E-93    1.7337E-139   3.7700E-191   3.5437E-213   7.1828E-34    9.2547E-99    1.6610E-70    4.6778E-84    4.2365E-216   1.0000E+0     1.2993E-138   4.2365E-216   1.3553E-57    2.9638E-109   2.2545E-173   1.5312E-155   7.0864E-158   3.7023E-78    1.7668E-118   2.6999E-114   3.1964E-124   9.2907E-158   4.2365E-216   4.5675E-140   4.2365E-216   4.2365E-216   4.2365E-216   1.0034E-214   8.2094E-208   1.1346E-179   8.0678E-143   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.1798E-178   4.2365E-216   4.2365E-216   1.4087E-212   4.6991E-189   4.2365E-216   4.2365E-216   4.2365E-216   1.8704E-138   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0120.00       1.0000E+3     1.6763E-29    2.5411E-47    2.3934E-62    2.7436E-50    3.5505E-83    3.8184E-118   7.8411E-85    5.9289E-92    8.0364E-85    3.9740E-127   2.2360E-174   9.6062E-195   3.1715E-30    7.6803E-90    7.3556E-64    3.1816E-76    4.2365E-216   1.0000E+0     1.2817E-126   2.7575E-205   1.8394E-52    1.9306E-99    1.9118E-158   7.1766E-142   5.1338E-144   1.0724E-70    6.9733E-108   6.0203E-104   5.2027E-113   5.6437E-144   4.2365E-216   2.0508E-127   4.2365E-216   3.0702E-205   4.2365E-216   4.3584E-196   1.4254E-189   8.6653E-164   6.6455E-130   5.4385E-215   1.8045E-200   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.9712E-162   4.2365E-216   4.2365E-216   8.7635E-194   3.8266E-172   4.2365E-216   4.2365E-216   4.2365E-216   7.6244E-126   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.8066E-200   
0120.00       3.0000E+3     5.5876E-30    8.4704E-48    7.9779E-63    9.1454E-51    1.1835E-83    1.2728E-118   2.6137E-85    1.9763E-92    2.6788E-85    1.3247E-127   7.4535E-175   3.2020E-195   1.0572E-30    2.5601E-90    2.4519E-64    1.0605E-76    4.2365E-216   1.0000E+0     7.3999E-127   1.5920E-205   1.0620E-52    6.4352E-100   6.3728E-159   2.3922E-142   1.7113E-144   3.5747E-71    2.3244E-108   2.0068E-104   1.7342E-113   1.8812E-144   4.2365E-216   6.8361E-128   4.2365E-216   1.0234E-205   4.2365E-216   1.4528E-196   4.7513E-190   2.8884E-164   2.2152E-130   1.8128E-215   6.0150E-201   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.5706E-163   4.2365E-216   4.2365E-216   2.9212E-194   1.2755E-172   4.2365E-216   4.2365E-216   4.2365E-216   2.5415E-126   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.0218E-201   
