T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E-5     2.5365E-22    2.4324E-37    2.3687E-50    1.6067E-60    3.6316E-60    2.5430E-156   4.4889E-76    9.5594E-87    4.7875E-76    1.1514E-181   4.7800E-217   4.7800E-217   2.3903E-19    1.0328E-35    2.7980E-59    5.0533E-67    4.7800E-217   1.0000E+0     1.8632E-197   4.7800E-217   1.8403E-36    4.2391E-141   4.7800E-217   2.0732E-197   9.6835E-195   2.4168E-110   2.2712E-131   6.4403E-128   4.4631E-163   5.6889E-198   4.7800E-217   2.0534E-166   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.8728E-196   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.2998E-170   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0080.00       3.0000E-5     8.4549E-23    8.1081E-38    7.8955E-51    3.0921E-61    1.2105E-60    8.4765E-157   1.4963E-76    3.1865E-87    1.5958E-76    3.8381E-182   4.7800E-217   4.7800E-217   7.9677E-20    3.4428E-36    9.3266E-60    1.6844E-67    4.7800E-217   1.0000E+0     1.0757E-197   4.7800E-217   1.0625E-36    8.1582E-142   4.7800E-217   6.9106E-198   3.2278E-195   8.0561E-111   7.5706E-132   2.1468E-128   1.4877E-163   1.8963E-198   4.7800E-217   6.8448E-167   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.2910E-196   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.4333E-170   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       1.0000E-5     1.7460E-18    3.7508E-32    2.6859E-43    5.3403E-52    2.9965E-52    5.1994E-138   5.8825E-66    1.9092E-75    6.1847E-66    3.4494E-160   4.7800E-217   4.7800E-217   8.3603E-16    2.8213E-30    2.3796E-51    4.2137E-58    4.7800E-217   1.0000E+0     8.3667E-175   4.7800E-217   1.1418E-31    2.7234E-124   1.4886E-198   7.3173E-175   1.4428E-171   1.6333E-96    2.0078E-115   3.3277E-112   1.7420E-143   8.7492E-175   4.7800E-217   2.9819E-146   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.7535E-172   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.5838E-214   4.7800E-217   4.7800E-217   4.7800E-217   6.0839E-200   4.7800E-217   4.7800E-217   4.7800E-217   2.0078E-149   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       3.0000E-5     5.8200E-19    1.2503E-32    8.9531E-44    1.0277E-52    9.9884E-53    1.7331E-138   1.9608E-66    6.3640E-76    2.0616E-66    1.1498E-160   4.7800E-217   4.7800E-217   2.7868E-16    9.4043E-31    7.9322E-52    1.4046E-58    4.7800E-217   1.0000E+0     4.8305E-175   4.7800E-217   6.5922E-32    5.2412E-125   4.9619E-199   2.4391E-175   4.8092E-172   5.4442E-97    6.6926E-116   1.1092E-112   5.8065E-144   2.9164E-175   4.7800E-217   9.9395E-147   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   5.8450E-173   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   5.2795E-215   4.7800E-217   4.7800E-217   4.7800E-217   2.0280E-200   4.7800E-217   4.7800E-217   4.7800E-217   6.6928E-150   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       1.0000E-5     1.9411E-15    5.1361E-28    1.1086E-37    3.6821E-45    6.2167E-46    2.2970E-123   6.7302E-58    1.9320E-66    7.0000E-58    5.1041E-143   4.7800E-217   4.7800E-217   5.5943E-13    5.6743E-26    5.2380E-45    5.6299E-51    4.7800E-217   1.0000E+0     1.0971E-156   4.7800E-217   7.2095E-28    9.6442E-111   2.3614E-178   9.2182E-157   4.3608E-153   1.8063E-85    1.1124E-102   1.1948E-99    7.9704E-128   3.0770E-156   4.7800E-217   3.9283E-130   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.9246E-196   8.8549E-154   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.2382E-191   4.7800E-217   4.7800E-217   3.4342E-206   3.6985E-178   4.7800E-217   4.7800E-217   4.7800E-217   6.6401E-133   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       3.0000E-5     6.4703E-16    1.7120E-28    3.6955E-38    7.0861E-46    2.0722E-46    7.6568E-124   2.2434E-58    6.4398E-67    2.3334E-58    1.7014E-143   4.7800E-217   4.7800E-217   1.8648E-13    1.8914E-26    1.7460E-45    1.8766E-51    4.7800E-217   1.0000E+0     6.3339E-157   4.7800E-217   4.1624E-28    1.8560E-111   7.8713E-179   3.0727E-157   1.4536E-153   6.0210E-86    3.7078E-103   3.9827E-100   2.6568E-128   1.0257E-156   4.7800E-217   1.3094E-130   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.4154E-197   2.9516E-154   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.1272E-192   4.7800E-217   4.7800E-217   1.1447E-206   1.2328E-178   4.7800E-217   4.7800E-217   4.7800E-217   2.2134E-133   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0110.00       1.0000E-5     5.7596E-13    1.2124E-24    4.1359E-33    1.5087E-39    8.8851E-41    2.1925E-111   2.4678E-51    4.2175E-59    2.5456E-51    5.5873E-129   1.1740E-197   3.4252E-212   1.1266E-10    1.7282E-22    8.0860E-40    3.7301E-45    4.7800E-217   1.0000E+0     7.2507E-142   4.7800E-217   8.7011E-25    1.4259E-99    9.1559E-162   6.6800E-142   5.1558E-138   1.8885E-76    2.8947E-92    2.1731E-89    5.0607E-115   4.5654E-141   4.7800E-217   5.9562E-117   4.7800E-217   7.7034E-204   4.7800E-217   1.8378E-214   2.4628E-199   2.2323E-177   1.7052E-138   4.7800E-217   9.8539E-209   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.5351E-173   4.7800E-217   4.7800E-217   6.2878E-186   2.2532E-160   4.7800E-217   4.7800E-217   4.7800E-217   2.1136E-119   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.9981E-214   
0110.00       3.0000E-5     1.9198E-13    4.0412E-25    1.3786E-33    2.9035E-40    2.9617E-41    7.3083E-112   8.2259E-52    1.4058E-59    8.4853E-52    1.8624E-129   3.9135E-198   1.1418E-212   3.7554E-11    5.7605E-23    2.6953E-40    1.2434E-45    4.7800E-217   1.0000E+0     4.1862E-142   4.7800E-217   5.0236E-25    2.7441E-100   3.0520E-162   2.2267E-142   1.7186E-138   6.2950E-77    9.6491E-93    7.2438E-90    1.6869E-115   1.5218E-141   4.7800E-217   1.9854E-117   4.7800E-217   2.5678E-204   4.7800E-217   6.1260E-215   8.2094E-200   7.4409E-178   5.6839E-139   4.7800E-217   3.2846E-209   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.1784E-173   4.7800E-217   4.7800E-217   2.0959E-186   7.5106E-161   4.7800E-217   4.7800E-217   4.7800E-217   7.0452E-120   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.6604E-215   
0110.00       1.0000E-5     1.9198E-13    4.0412E-25    1.3786E-33    2.9035E-40    2.9617E-41    7.3083E-112   8.2259E-52    1.4058E-59    8.4853E-52    1.8624E-129   3.9135E-198   1.1418E-212   3.7554E-11    5.7605E-23    2.6953E-40    1.2434E-45    4.7800E-217   1.0000E+0     4.1862E-142   4.7800E-217   5.0236E-25    2.7441E-100   3.0520E-162   2.2267E-142   1.7186E-138   6.2950E-77    9.6491E-93    7.2438E-90    1.6869E-115   1.5218E-141   4.7800E-217   1.9854E-117   4.7800E-217   2.5678E-204   4.7800E-217   6.1260E-215   8.2094E-200   7.4409E-178   5.6839E-139   4.7800E-217   3.2846E-209   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.1784E-173   4.7800E-217   4.7800E-217   2.0959E-186   7.5106E-161   4.7800E-217   4.7800E-217   4.7800E-217   7.0452E-120   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.6604E-215   
0110.00       3.0000E-5     1.9198E-13    4.0412E-25    1.3786E-33    2.9035E-40    2.9617E-41    7.3083E-112   8.2259E-52    1.4058E-59    8.4853E-52    1.8624E-129   3.9135E-198   1.1418E-212   3.7554E-11    5.7605E-23    2.6953E-40    1.2434E-45    4.7800E-217   1.0000E+0     4.1862E-142   4.7800E-217   5.0236E-25    2.7441E-100   3.0520E-162   2.2267E-142   1.7186E-138   6.2950E-77    9.6491E-93    7.2438E-90    1.6869E-115   1.5218E-141   4.7800E-217   1.9854E-117   4.7800E-217   2.5678E-204   4.7800E-217   6.1260E-215   8.2094E-200   7.4409E-178   5.6839E-139   4.7800E-217   3.2846E-209   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.1784E-173   4.7800E-217   4.7800E-217   2.0959E-186   7.5106E-161   4.7800E-217   4.7800E-217   4.7800E-217   7.0452E-120   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.6604E-215   
