T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0130.00       1.0000E+1     3.3076E-15    1.7670E-25    3.9697E-32    7.1152E-40    7.0752E-39    5.8256E-99    2.6677E-47    7.1018E-54    2.7203E-47    2.1176E-113   2.1600E-171   5.9772E-184   3.7935E-13    3.2606E-23    7.7297E-38    3.2152E-42    4.7800E-217   1.0000E+0     4.4976E-122   1.7033E-188   4.1545E-23    3.3661E-91    4.1609E-142   6.3165E-125   6.2292E-121   1.3035E-68    2.8855E-82    1.2390E-79    2.3848E-101   9.8579E-124   9.3134E-194   1.0838E-102   4.7800E-217   3.0786E-176   4.7800E-217   1.0546E-185   1.5118E-172   4.5821E-154   5.0804E-121   2.6887E-202   1.0810E-180   4.7800E-217   4.7800E-217   4.7800E-217   1.4461E-209   4.7800E-217   4.7800E-217   2.1893E-216   3.9866E-150   4.7800E-217   4.7800E-217   8.1479E-161   4.2452E-139   4.7800E-217   4.7800E-217   4.7800E-217   1.1730E-104   7.2395E-204   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   3.1740E-185   
0130.00       3.0000E+1     1.1025E-15    5.8901E-26    1.3232E-32    1.3693E-40    2.3584E-39    1.9418E-99    8.8923E-48    2.3673E-54    9.0677E-48    7.0586E-114   7.1999E-172   1.9924E-184   1.2645E-13    1.0869E-23    2.5766E-38    1.0718E-42    4.7800E-217   1.0000E+0     2.5967E-122   9.8340E-189   2.3986E-23    6.4780E-92    1.3870E-142   2.1055E-125   2.0764E-121   4.3450E-69    9.6185E-83    4.1301E-80    7.9494E-102   3.2860E-124   3.1044E-194   3.6125E-103   4.7800E-217   1.0262E-176   4.7800E-217   3.5153E-186   5.0394E-173   1.5274E-154   1.6935E-121   8.9625E-203   3.6035E-181   4.7800E-217   4.7800E-217   4.7800E-217   4.8204E-210   4.7800E-217   4.7800E-217   7.2976E-217   1.3289E-150   4.7800E-217   4.7800E-217   2.7160E-161   1.4150E-139   4.7800E-217   4.7800E-217   4.7800E-217   3.9101E-105   2.4132E-204   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.0580E-185   
0140.00       1.0000E+1     9.5025E-14    1.8415E-23    2.0915E-29    1.8872E-36    8.7366E-36    1.0023E-91    2.1927E-43    1.7175E-49    2.2270E-43    6.2337E-105   1.0069E-158   1.6920E-170   9.0682E-12    3.5573E-21    1.0532E-34    1.0214E-38    4.7800E-217   1.0000E+0     4.0183E-113   5.8618E-175   2.6971E-21    2.6953E-84    5.6971E-132   7.4808E-116   6.5783E-112   3.4399E-63    5.4326E-76    1.8672E-73    1.2490E-93    1.4396E-114   1.8571E-179   9.6977E-95    1.4764E-201   4.8868E-163   2.0426E-213   4.7957E-172   1.1348E-159   1.4769E-142   8.1475E-112   1.6855E-187   2.5472E-167   2.1833E-213   1.4271E-212   4.7800E-217   4.8291E-194   7.5877E-212   4.7800E-217   2.3079E-200   7.9704E-139   2.2837E-215   1.2873E-205   1.2841E-148   2.0294E-128   4.7800E-217   5.4319E-212   4.7800E-217   1.6095E-96    1.3331E-188   5.4319E-212   4.7800E-217   4.7800E-217   4.7800E-217   2.0843E-171   
0140.00       3.0000E+1     3.1675E-14    6.1384E-24    6.9715E-30    3.6320E-37    2.9122E-36    3.3410E-92    7.3091E-44    5.7251E-50    7.4234E-44    2.0779E-105   3.3565E-159   5.6399E-171   3.0227E-12    1.1858E-21    3.5107E-35    3.4046E-39    4.7800E-217   1.0000E+0     2.3200E-113   3.3843E-175   1.5572E-21    5.1870E-85    1.8990E-132   2.4936E-116   2.1928E-112   1.1466E-63    1.8109E-76    6.2239E-74    4.1635E-94    4.7988E-115   6.1902E-180   3.2326E-95    4.9213E-202   1.6289E-163   6.8086E-214   1.5986E-172   3.7827E-160   4.9229E-143   2.7158E-112   5.6183E-188   8.4908E-168   7.2778E-214   4.7570E-213   4.7800E-217   1.6097E-194   2.5292E-212   4.7800E-217   7.6931E-201   2.6568E-139   7.6124E-216   4.2909E-206   4.2802E-149   6.7647E-129   4.7800E-217   1.8106E-212   4.7800E-217   5.3650E-97    4.4436E-189   1.8106E-212   4.7800E-217   4.7800E-217   4.7800E-217   6.9477E-172   
0150.00       1.0000E+1     1.7035E-12    1.0188E-21    4.6481E-27    1.7868E-33    4.1093E-33    1.8642E-85    5.2321E-40    1.0445E-45    5.2969E-40    1.3482E-97    9.5182E-148   7.7014E-159   1.4065E-10    1.9847E-19    5.4763E-32    1.0952E-35    4.7800E-217   1.0000E+0     2.2901E-105   3.1726E-163   9.7083E-20    2.8685E-78    3.7367E-123   5.8106E-108   4.1091E-104   1.6846E-58    1.4700E-70    4.1586E-68    6.0403E-87    1.2570E-106   4.6508E-167   7.4807E-88    1.4856E-187   1.3477E-151   1.4630E-198   3.3038E-160   1.6236E-148   1.3775E-132   7.5740E-104   1.1348E-174   9.8839E-156   1.1091E-198   6.2751E-198   4.7800E-217   1.3677E-180   2.2241E-197   4.7800E-217   1.7746E-186   4.9121E-129   1.7936E-200   2.8082E-191   4.6302E-138   3.4900E-119   4.7800E-217   2.5156E-197   4.7800E-217   1.7875E-89    2.2591E-175   2.5156E-197   4.7800E-217   4.7800E-217   4.7800E-217   1.9385E-159   
0150.00       3.0000E+1     5.6783E-13    3.3958E-22    1.5494E-27    3.4387E-34    1.3698E-33    6.2142E-86    1.7440E-40    3.4816E-46    1.7656E-40    4.4939E-98    3.1727E-148   2.5671E-159   4.6884E-11    6.6156E-20    1.8254E-32    3.6508E-36    4.7800E-217   1.0000E+0     1.3222E-105   1.8317E-163   5.6051E-20    5.5204E-79    1.2456E-123   1.9369E-108   1.3697E-104   5.6154E-59    4.9000E-71    1.3862E-68    2.0134E-87    4.1900E-107   1.5503E-167   2.4936E-88    4.9518E-188   4.4924E-152   4.8767E-199   1.1012E-160   5.4119E-149   4.5916E-133   2.5247E-104   3.7826E-175   3.2946E-156   3.6971E-199   2.0917E-198   4.7800E-217   4.5590E-181   7.4138E-198   4.7800E-217   5.9154E-187   1.6374E-129   5.9785E-201   9.3607E-192   1.5434E-138   1.1634E-119   4.7800E-217   8.3855E-198   4.7800E-217   5.9583E-90    7.5304E-176   8.3855E-198   4.7800E-217   4.7800E-217   4.7800E-217   6.4618E-160   
0160.00       1.0000E+1     2.0848E-11    3.3719E-20    5.1318E-25    7.3153E-31    8.8317E-31    5.6897E-80    4.5800E-37    2.0736E-42    4.6250E-37    3.4972E-91    3.7912E-138   1.2228E-148   1.5360E-9     6.4392E-18    1.3018E-29    4.8632E-33    4.8433E-219   1.0000E+0     1.3952E-98    5.8815E-153   2.1686E-18    5.8865E-73    2.0659E-115   4.9144E-101   2.5890E-97    2.1023E-54    8.2314E-66    1.9609E-63    4.2192E-81    1.1130E-99    3.3212E-156   7.8814E-82    2.6717E-175   1.3807E-141   1.4528E-185   7.5620E-150   9.3072E-139   7.2283E-124   6.9710E-97    1.9189E-163   1.3640E-145   8.2093E-186   4.0764E-185   4.8433E-219   8.0372E-169   1.0240E-184   5.8341E-217   2.5044E-174   1.7930E-120   1.9404E-187   9.7379E-179   7.7727E-129   4.0391E-111   4.8433E-219   1.7335E-184   4.8433E-219   2.5770E-83    8.4872E-164   1.7335E-184   4.8433E-219   2.6413E-205   4.8433E-219   5.6782E-149   
0160.00       3.0000E+1     6.9494E-12    1.1240E-20    1.7106E-25    1.4078E-31    2.9439E-31    1.8966E-80    1.5267E-37    6.9119E-43    1.5416E-37    1.1657E-91    1.2637E-138   4.0760E-149   5.1199E-10    2.1464E-18    4.3395E-30    1.6210E-33    1.6144E-219   1.0000E+0     8.0549E-99    3.3957E-153   1.2520E-18    1.1328E-73    6.8864E-116   1.6381E-101   8.6302E-98    7.0076E-55    2.7438E-66    6.5363E-64    1.4064E-81    3.7101E-100   1.1071E-156   2.6272E-82    8.9056E-176   4.6025E-142   4.8427E-186   2.5207E-150   3.1024E-139   2.4094E-124   2.3237E-97    6.3963E-164   4.5468E-146   2.7364E-186   1.3588E-185   1.6144E-219   2.6790E-169   3.4134E-185   1.9447E-217   8.3478E-175   5.9765E-121   6.4680E-188   3.2460E-179   2.5909E-129   1.3464E-111   1.6144E-219   5.7782E-185   1.6144E-219   8.5902E-84    2.8291E-164   5.7782E-185   1.6144E-219   8.8043E-206   1.6144E-219   1.8928E-149   
0170.00       1.0000E+1     1.8656E-10    7.3159E-19    3.1891E-23    1.5000E-28    9.9669E-29    3.9206E-75    1.7587E-34    1.6403E-39    1.7724E-34    1.5830E-85    1.1132E-129   1.2244E-139   1.2570E-8     1.3400E-16    1.6246E-27    1.0452E-30    7.5108E-215   1.0000E+0     1.3484E-92    6.7724E-144   3.2758E-17    3.0980E-68    1.4841E-108   6.6723E-95    2.4739E-91    8.5177E-51    1.2604E-61    2.5766E-59    5.9933E-76    1.4971E-93    1.2662E-146   1.6123E-76    1.7465E-164   9.3954E-133   4.2563E-174   1.0485E-140   3.7730E-130   3.5477E-116   9.5646E-91    1.5606E-153   1.2064E-136   1.8667E-174   8.2309E-174   4.8433E-219   1.9422E-158   1.5404E-173   9.5630E-204   1.3135E-163   6.3858E-113   6.1589E-176   1.1158E-167   1.0454E-120   5.0768E-104   4.8433E-219   3.7316E-173   4.8433E-219   6.9206E-78    1.3845E-153   3.7316E-173   4.8433E-219   8.2258E-193   4.8433E-219   9.6502E-140   
0170.00       3.0000E+1     6.2187E-11    2.4386E-19    1.0630E-23    2.8868E-29    3.3223E-29    1.3069E-75    5.8624E-35    5.4678E-40    5.9080E-35    5.2765E-86    3.7107E-130   4.0815E-140   4.1901E-9     4.4666E-17    5.4153E-28    3.4842E-31    2.5036E-215   1.0000E+0     7.7848E-93    3.9101E-144   1.8913E-17    5.9621E-69    4.9470E-109   2.2241E-95    8.2465E-92    2.8392E-51    4.2014E-62    8.5885E-60    1.9978E-76    4.9903E-94    4.2205E-147   5.3744E-77    5.8217E-165   3.1318E-133   1.4188E-174   3.4951E-141   1.2577E-130   1.1826E-116   3.1882E-91    5.2021E-154   4.0212E-137   6.2224E-175   2.7436E-174   1.6144E-219   6.4740E-159   5.1348E-174   3.1877E-204   4.3783E-164   2.1286E-113   2.0530E-176   3.7192E-168   3.4848E-121   1.6923E-104   1.6144E-219   1.2439E-173   1.6144E-219   2.3069E-78    4.6150E-154   1.2439E-173   1.6144E-219   2.7419E-193   1.6144E-219   3.2167E-140   
