T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0130.00       1.0000E-1     5.9813E-23    1.2650E-39    2.9726E-53    3.5338E-42    1.5174E-72    4.9291E-105   7.6454E-74    2.0353E-80    7.7962E-74    4.5258E-113   1.3782E-156   1.5098E-175   1.5186E-23    1.0485E-78    1.2250E-54    5.3300E-66    4.2365E-216   1.0000E+0     1.1361E-114   1.7033E-187   2.5165E-46    1.5294E-87    3.2206E-142   1.0449E-126   1.0813E-128   8.6996E-61    2.5538E-95    1.3556E-91    6.3010E-100   1.0311E-128   7.7421E-201   4.1152E-113   4.2365E-216   5.4697E-185   4.2365E-216   1.0082E-176   1.5118E-170   9.3625E-147   2.2186E-115   2.6590E-194   9.0456E-181   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.6272E-210   1.8009E-145   4.2365E-216   4.2365E-216   2.7298E-174   3.0397E-154   4.2365E-216   4.2365E-216   4.2365E-216   1.3949E-111   4.0278E-209   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.4338E-180   
0130.00       3.0000E-1     1.9938E-23    4.2168E-40    9.9088E-54    1.1779E-42    5.0580E-73    1.6430E-105   2.5485E-74    6.7844E-81    2.5987E-74    1.5086E-113   4.5939E-157   5.0327E-176   5.0620E-24    3.4950E-79    4.0834E-55    1.7767E-66    4.2365E-216   1.0000E+0     6.5591E-115   9.8340E-188   1.4529E-46    5.0978E-88    1.0735E-142   3.4830E-127   3.6044E-129   2.8999E-61    8.5126E-96    4.5188E-92    2.1003E-100   3.4371E-129   2.5807E-201   1.3717E-113   4.2365E-216   1.8232E-185   4.2365E-216   3.3607E-177   5.0394E-171   3.1208E-147   7.3953E-116   8.8632E-195   3.0152E-181   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.5424E-210   6.0029E-146   4.2365E-216   4.2365E-216   9.0994E-175   1.0132E-154   4.2365E-216   4.2365E-216   4.2365E-216   4.6495E-112   1.3426E-209   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.7793E-181   
0140.00       1.0000E-1     9.1940E-21    1.8724E-36    6.8834E-49    1.1794E-38    7.3394E-67    3.1960E-97    7.3988E-68    5.7953E-74    7.5145E-68    1.8915E-104   9.1180E-145   1.6100E-162   3.0093E-21    1.3478E-72    3.6730E-50    1.1530E-60    4.2365E-216   1.0000E+0     3.8237E-106   5.8618E-174   8.7444E-43    8.9880E-81    9.6934E-132   3.8621E-117   5.4884E-119   1.0083E-55    5.6073E-88    1.9564E-84    3.8473E-92    4.6600E-119   5.8008E-186   2.7890E-104   4.3884E-202   4.6317E-171   5.7773E-208   1.4816E-163   1.1348E-157   1.3844E-135   2.3174E-106   5.3374E-180   2.5721E-167   4.2365E-216   4.2365E-216   4.2365E-216   1.2802E-210   2.4028E-204   4.2365E-216   2.2176E-194   2.3238E-134   2.3409E-214   5.0762E-203   5.1485E-161   2.4690E-142   4.2365E-216   3.1722E-215   4.2365E-216   8.6538E-103   2.3622E-193   3.1722E-215   4.2365E-216   4.2365E-216   4.2365E-216   6.0769E-167   
0140.00       3.0000E-1     3.0647E-21    6.2413E-37    2.2945E-49    3.9315E-39    2.4464E-67    1.0653E-97    2.4663E-68    1.9318E-74    2.5048E-68    6.3050E-105   3.0393E-145   5.3668E-163   1.0031E-21    4.4927E-73    1.2243E-50    3.8433E-61    4.2365E-216   1.0000E+0     2.2076E-106   3.3843E-174   5.0486E-43    2.9960E-81    3.2311E-132   1.2874E-117   1.8294E-119   3.3609E-56    1.8691E-88    6.5213E-85    1.2824E-92    1.5533E-119   1.9336E-186   9.2965E-105   1.4628E-202   1.5439E-171   1.9258E-208   4.9385E-164   3.7827E-158   4.6147E-136   7.7247E-107   1.7791E-180   8.5735E-168   4.2365E-216   4.2365E-216   4.2365E-216   4.2674E-211   8.0092E-205   4.2365E-216   7.3919E-195   7.7460E-135   7.8029E-215   1.6921E-203   1.7162E-161   8.2300E-143   4.2365E-216   1.0574E-215   4.2365E-216   2.8846E-103   7.8740E-194   1.0574E-215   4.2365E-216   4.2365E-216   4.2365E-216   2.0256E-167   
0150.00       1.0000E-1     7.2062E-19    1.0500E-33    4.1592E-45    1.3362E-35    6.2109E-62    1.8926E-90    1.1288E-62    2.2535E-68    1.1428E-62    5.6176E-97    1.6035E-134   3.1610E-151   2.9444E-19    2.6196E-67    2.7931E-46    4.8500E-56    4.2365E-216   1.0000E+0     9.3995E-99    3.1726E-162   1.0158E-39    6.5943E-75    1.1661E-122   7.5560E-109   1.4142E-110   2.4640E-51    1.2957E-81    3.1347E-78    2.1525E-85    1.0913E-110   4.5009E-173   1.2570E-96    5.9009E-188   5.4348E-159   2.3852E-193   3.8052E-152   1.6236E-146   6.6110E-126   1.5147E-98    1.3207E-167   1.1678E-155   3.2793E-208   7.6150E-202   4.2365E-216   6.2440E-196   2.5885E-190   4.2365E-216   8.6061E-181   9.9262E-125   1.8123E-199   9.6144E-189   1.6338E-149   5.1315E-132   4.2365E-216   2.9053E-200   4.2365E-216   3.5843E-95    1.0872E-179   2.9053E-200   4.2365E-216   8.8454E-214   4.2365E-216   3.9173E-155   
0150.00       3.0000E-1     2.4021E-19    3.4999E-34    1.3864E-45    4.4541E-36    2.0703E-62    6.3086E-91    3.7628E-63    7.5118E-69    3.8094E-63    1.8725E-97    5.3450E-135   1.0537E-151   9.8146E-20    8.7322E-68    9.3103E-47    1.6167E-56    4.2365E-216   1.0000E+0     5.4268E-99    1.8317E-162   5.8646E-40    2.1981E-75    3.8871E-123   2.5186E-109   4.7141E-111   8.2135E-52    4.3190E-82    1.0449E-78    7.1750E-86    3.6378E-111   1.5003E-173   4.1900E-97    1.9670E-188   1.8116E-159   7.9508E-194   1.2684E-152   5.4119E-147   2.2037E-126   5.0489E-99    4.4023E-168   3.8927E-156   1.0931E-208   2.5384E-202   4.2365E-216   2.0813E-196   8.6284E-191   4.2365E-216   2.8687E-181   3.3087E-125   6.0411E-200   3.2048E-189   5.4460E-150   1.7105E-132   4.2365E-216   9.6843E-201   4.2365E-216   1.1948E-95    3.6239E-180   9.6843E-201   4.2365E-216   2.9485E-214   4.2365E-216   1.3058E-155   
0160.00       1.0000E-1     3.2681E-17    2.6755E-31    8.4382E-42    6.2920E-33    1.2749E-57    1.6027E-84    3.8416E-58    1.7393E-63    3.8793E-58    1.9462E-90    1.4797E-125   2.4157E-141   1.6237E-17    1.0980E-62    6.9660E-43    5.3926E-52    4.2365E-216   1.0000E+0     2.7562E-92    5.8815E-152   4.8470E-37    8.9232E-70    1.0256E-114   1.3577E-101   3.2353E-103   1.7003E-47    4.8050E-76    8.4209E-73    1.7273E-79    2.3065E-103   8.5222E-162   6.2628E-90    1.3543E-175   1.9716E-148   1.4549E-180   3.6491E-142   9.3072E-137   1.9411E-117   1.0418E-91    9.1884E-157   1.8398E-145   1.2243E-194   1.2010E-188   4.2365E-216   4.4444E-183   4.9034E-178   5.5189E-205   6.6733E-169   2.6587E-116   1.9254E-186   2.9644E-176   1.8775E-139   5.4293E-123   4.2365E-216   3.5777E-187   4.2365E-216   1.6472E-88    9.7480E-168   3.5777E-187   4.2365E-216   7.0382E-200   4.2365E-216   8.4201E-145   
0160.00       3.0000E-1     1.0894E-17    8.9183E-32    2.8127E-42    2.0974E-33    4.2497E-58    5.3424E-85    1.2805E-58    5.7976E-64    1.2931E-58    6.4873E-91    4.9323E-126   8.0524E-142   5.4123E-18    3.6601E-63    2.3220E-43    1.7975E-52    4.2365E-216   1.0000E+0     1.5913E-92    3.3957E-152   2.7984E-37    2.9744E-70    3.4187E-115   4.5257E-102   1.0784E-103   5.6678E-48    1.6017E-76    2.8070E-73    5.7578E-80    7.6885E-104   2.8407E-162   2.0876E-90    4.5145E-176   6.5720E-149   4.8498E-181   1.2164E-142   3.1024E-137   6.4702E-118   3.4725E-92    3.0628E-157   6.1327E-146   4.0811E-195   4.0034E-189   4.2365E-216   1.4815E-183   1.6345E-178   1.8396E-205   2.2244E-169   8.8624E-117   6.4182E-187   9.8814E-177   6.2583E-140   1.8098E-123   4.2365E-216   1.1926E-187   4.2365E-216   5.4905E-89    3.2493E-168   1.1926E-187   4.2365E-216   2.3461E-200   4.2365E-216   2.8067E-145   
0170.00       1.0000E-1     9.4462E-16    3.5601E-29    6.9702E-39    1.4377E-30    8.1498E-54    2.7350E-79    3.8019E-54    3.5459E-59    3.8314E-54    1.1490E-84    1.2052E-117   1.2740E-132   5.5840E-16    1.3020E-58    6.9359E-40    2.0043E-48    4.2365E-216   1.0000E+0     1.4030E-86    6.7724E-143   1.1120E-34    3.0015E-65    1.0465E-107   3.4150E-95    1.0075E-96    4.1417E-44    3.9491E-71    5.1976E-68    2.8008E-74    6.7240E-97    7.5838E-152   5.0877E-84    1.0884E-164   4.0846E-139   2.7600E-169   2.3346E-133   3.7730E-128   5.7333E-110   1.1219E-85    3.3764E-147   1.8207E-136   1.1573E-182   5.3093E-177   4.2365E-216   9.7345E-172   3.3327E-167   2.1527E-192   2.0626E-158   7.2787E-109   5.9847E-175   3.0789E-165   1.4039E-130   4.9483E-115   4.2365E-216   1.2674E-175   4.2365E-216   1.2384E-82    3.4132E-157   1.2674E-175   4.2365E-216   1.2918E-187   4.2365E-216   1.0999E-135   
0170.00       3.0000E-1     3.1487E-16    1.1867E-29    2.3234E-39    4.7924E-31    2.7166E-54    9.1165E-80    1.2673E-54    1.1820E-59    1.2771E-54    3.8299E-85    4.0173E-118   4.2467E-133   1.8613E-16    4.3401E-59    2.3120E-40    6.6810E-49    4.2365E-216   1.0000E+0     8.1000E-87    3.9101E-143   6.4204E-35    1.0005E-65    3.4883E-108   1.1383E-95    3.3582E-97    1.3806E-44    1.3164E-71    1.7325E-68    9.3360E-75    2.2413E-97    2.5279E-152   1.6959E-84    3.6282E-165   1.3615E-139   9.1999E-170   7.7819E-134   1.2577E-128   1.9111E-110   3.7397E-86    1.1255E-147   6.0690E-137   3.8576E-183   1.7698E-177   4.2365E-216   3.2448E-172   1.1109E-167   7.1758E-193   6.8755E-159   2.4262E-109   1.9949E-175   1.0263E-165   4.6796E-131   1.6494E-115   4.2365E-216   4.2248E-176   4.2365E-216   4.1279E-83    1.1377E-157   4.2248E-176   4.2365E-216   4.3058E-188   4.2365E-216   3.6665E-136   
