T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0130.00       1.0000E+2     3.3076E-16    1.7670E-26    3.9697E-33    2.2500E-41    7.0752E-40    5.8256E-100   2.6677E-48    7.1018E-55    2.7203E-48    2.1176E-114   2.1600E-172   5.9772E-185   3.7935E-14    3.2606E-24    7.7297E-39    3.2152E-43    4.7800E-217   1.0000E+0     1.4223E-122   5.3863E-189   1.3138E-23    1.0644E-92    4.1609E-143   6.3165E-126   6.2292E-122   1.3035E-69    2.8855E-83    1.2390E-80    2.3848E-102   9.8579E-125   9.3134E-195   1.0838E-103   4.7800E-217   3.0786E-177   4.7800E-217   1.0546E-186   1.5118E-173   4.5821E-155   5.0804E-122   2.6887E-203   1.0810E-181   4.7800E-217   4.7800E-217   4.7800E-217   1.4461E-210   4.7800E-217   4.7800E-217   4.7800E-217   3.9866E-151   4.7800E-217   4.7800E-217   8.1479E-162   4.2452E-140   4.7800E-217   4.7800E-217   4.7800E-217   1.1730E-105   7.2395E-205   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   3.1740E-186   
0130.00       3.0000E+2     1.1025E-16    5.8901E-27    1.3232E-33    4.3302E-42    2.3584E-40    1.9418E-100   8.8923E-49    2.3673E-55    9.0677E-49    7.0586E-115   7.1999E-173   1.9924E-185   1.2645E-14    1.0869E-24    2.5766E-39    1.0718E-43    4.7800E-217   1.0000E+0     8.2114E-123   3.1098E-189   7.5850E-24    2.0485E-93    1.3870E-143   2.1055E-126   2.0764E-122   4.3450E-70    9.6185E-84    4.1301E-81    7.9494E-103   3.2860E-125   3.1044E-195   3.6125E-104   4.7800E-217   1.0262E-177   4.7800E-217   3.5153E-187   5.0394E-174   1.5274E-155   1.6935E-122   8.9624E-204   3.6035E-182   4.7800E-217   4.7800E-217   4.7800E-217   4.8204E-211   4.7800E-217   4.7800E-217   4.7800E-217   1.3289E-151   4.7800E-217   4.7800E-217   2.7160E-162   1.4150E-140   4.7800E-217   4.7800E-217   4.7800E-217   3.9101E-106   2.4132E-205   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.0580E-186   
0140.00       1.0000E+2     9.5025E-15    1.8415E-24    2.0915E-30    5.9680E-38    8.7366E-37    1.0023E-92    2.1927E-44    1.7175E-50    2.2270E-44    6.2337E-106   1.0070E-159   1.6920E-171   9.0682E-13    3.5573E-22    1.0532E-35    1.0214E-39    4.7800E-217   1.0000E+0     1.2707E-113   1.8536E-175   8.5290E-22    8.5232E-86    5.6971E-133   7.4808E-117   6.5783E-113   3.4399E-64    5.4326E-77    1.8672E-74    1.2490E-94    1.4396E-115   1.8571E-180   9.6977E-96    1.4764E-202   4.8868E-164   2.0426E-214   4.7957E-173   1.1348E-160   1.4769E-143   8.1475E-113   1.6855E-188   2.5472E-168   2.1833E-214   1.4271E-213   4.7800E-217   4.8291E-195   7.5877E-213   4.7800E-217   2.3079E-201   7.9704E-140   2.2837E-216   1.2873E-206   1.2841E-149   2.0294E-129   4.7800E-217   5.4319E-213   4.7800E-217   1.6095E-97    1.3331E-189   5.4319E-213   4.7800E-217   4.7800E-217   4.7800E-217   2.0843E-172   
0140.00       3.0000E+2     3.1675E-15    6.1384E-25    6.9715E-31    1.1485E-38    2.9122E-37    3.3410E-93    7.3091E-45    5.7251E-51    7.4234E-45    2.0779E-106   3.3565E-160   5.6399E-172   3.0227E-13    1.1858E-22    3.5107E-36    3.4046E-40    4.7800E-217   1.0000E+0     7.3364E-114   1.0702E-175   4.9242E-22    1.6403E-86    1.8990E-133   2.4936E-117   2.1928E-113   1.1466E-64    1.8109E-77    6.2239E-75    4.1635E-95    4.7988E-116   6.1902E-181   3.2326E-96    4.9213E-203   1.6289E-164   6.8086E-215   1.5986E-173   3.7827E-161   4.9229E-144   2.7158E-113   5.6183E-189   8.4908E-169   7.2778E-215   4.7570E-214   4.7800E-217   1.6097E-195   2.5292E-213   4.7800E-217   7.6931E-202   2.6568E-140   7.6124E-217   4.2909E-207   4.2802E-150   6.7647E-130   4.7800E-217   1.8106E-213   4.7800E-217   5.3650E-98    4.4436E-190   1.8106E-213   4.7800E-217   4.7800E-217   4.7800E-217   6.9477E-173   
0150.00       1.0000E+2     1.7035E-13    1.0188E-22    4.6481E-28    5.6503E-35    4.1093E-34    1.8642E-86    5.2321E-41    1.0445E-46    5.2969E-41    1.3482E-98    9.5182E-149   7.7014E-160   1.4065E-11    1.9847E-20    5.4763E-33    1.0952E-36    4.7800E-217   1.0000E+0     7.2418E-106   1.0033E-163   3.0700E-20    9.0710E-80    3.7367E-124   5.8106E-109   4.1091E-105   1.6846E-59    1.4700E-71    4.1586E-69    6.0403E-88    1.2570E-107   4.6508E-168   7.4807E-89    1.4856E-188   1.3477E-152   1.4630E-199   3.3038E-161   1.6236E-149   1.3775E-133   7.5740E-105   1.1348E-175   9.8839E-157   1.1091E-199   6.2751E-199   4.7800E-217   1.3677E-181   2.2241E-198   4.7800E-217   1.7746E-187   4.9121E-130   1.7936E-201   2.8082E-192   4.6302E-139   3.4900E-120   4.7800E-217   2.5156E-198   4.7800E-217   1.7875E-90    2.2591E-176   2.5156E-198   4.7800E-217   4.7800E-217   4.7800E-217   1.9385E-160   
0150.00       3.0000E+2     5.6783E-14    3.3958E-23    1.5494E-28    1.0874E-35    1.3698E-34    6.2142E-87    1.7440E-41    3.4816E-47    1.7656E-41    4.4939E-99    3.1727E-149   2.5671E-160   4.6884E-12    6.6156E-21    1.8254E-33    3.6508E-37    4.7800E-217   1.0000E+0     4.1811E-106   5.7924E-164   1.7725E-20    1.7457E-80    1.2456E-124   1.9369E-109   1.3697E-105   5.6155E-60    4.9000E-72    1.3862E-69    2.0134E-88    4.1900E-108   1.5503E-168   2.4936E-89    4.9518E-189   4.4924E-153   4.8767E-200   1.1012E-161   5.4119E-150   4.5916E-134   2.5247E-105   3.7826E-176   3.2946E-157   3.6971E-200   2.0917E-199   4.7800E-217   4.5590E-182   7.4138E-199   4.7800E-217   5.9154E-188   1.6374E-130   5.9785E-202   9.3607E-193   1.5434E-139   1.1634E-120   4.7800E-217   8.3855E-199   4.7800E-217   5.9583E-91    7.5304E-177   8.3855E-199   4.7800E-217   4.7800E-217   4.7800E-217   6.4618E-161   
0160.00       1.0000E+2     2.0848E-12    3.3719E-21    5.1318E-26    2.3133E-32    8.8317E-32    5.6897E-81    4.5800E-38    2.0736E-43    4.6250E-38    3.4972E-92    3.7912E-139   1.2228E-149   1.5360E-10    6.4392E-19    1.3018E-30    4.8632E-34    4.7800E-217   1.0000E+0     4.4118E-99    1.8599E-153   6.8577E-19    1.8615E-74    2.0659E-116   4.9144E-102   2.5890E-98    2.1023E-55    8.2314E-67    1.9609E-64    4.2192E-82    1.1130E-100   3.3212E-157   7.8814E-83    2.6717E-176   1.3807E-142   1.4528E-186   7.5620E-151   9.3072E-140   7.2283E-125   6.9710E-98    1.9189E-164   1.3640E-146   8.2093E-187   4.0764E-186   4.7800E-217   8.0372E-170   1.0240E-185   4.7800E-217   2.5044E-175   1.7930E-121   1.9404E-188   9.7379E-180   7.7727E-130   4.0391E-112   4.7800E-217   1.7335E-185   4.7800E-217   2.5770E-84    8.4872E-165   1.7335E-185   4.7800E-217   2.6413E-206   4.7800E-217   5.6782E-150   
0160.00       3.0000E+2     6.9494E-13    1.1240E-21    1.7106E-26    4.4519E-33    2.9439E-32    1.8966E-81    1.5267E-38    6.9119E-44    1.5416E-38    1.1657E-92    1.2637E-139   4.0760E-150   5.1199E-11    2.1464E-19    4.3395E-31    1.6210E-34    4.7800E-217   1.0000E+0     2.5472E-99    1.0738E-153   3.9593E-19    3.5824E-75    6.8864E-117   1.6381E-102   8.6302E-99    7.0076E-56    2.7438E-67    6.5363E-65    1.4064E-82    3.7101E-101   1.1071E-157   2.6272E-83    8.9056E-177   4.6025E-143   4.8427E-187   2.5207E-151   3.1024E-140   2.4094E-125   2.3237E-98    6.3963E-165   4.5468E-147   2.7364E-187   1.3588E-186   4.7800E-217   2.6790E-170   3.4134E-186   4.7800E-217   8.3478E-176   5.9765E-122   6.4680E-189   3.2460E-180   2.5909E-130   1.3464E-112   4.7800E-217   5.7782E-186   4.7800E-217   8.5902E-85    2.8291E-165   5.7782E-186   4.7800E-217   8.8043E-207   4.7800E-217   1.8928E-150   
0170.00       1.0000E+2     1.8656E-11    7.3159E-20    3.1891E-24    4.7434E-30    9.9669E-30    3.9206E-76    1.7587E-35    1.6403E-40    1.7724E-35    1.5830E-86    1.1132E-130   1.2244E-140   1.2570E-9     1.3400E-17    1.6246E-28    1.0452E-31    7.5108E-216   1.0000E+0     4.2639E-93    2.1416E-144   1.0359E-17    9.7968E-70    1.4841E-109   6.6723E-96    2.4739E-92    8.5177E-52    1.2604E-62    2.5766E-60    5.9933E-77    1.4971E-94    1.2662E-147   1.6123E-77    1.7465E-165   9.3954E-134   4.2563E-175   1.0485E-141   3.7730E-131   3.5477E-117   9.5646E-92    1.5606E-154   1.2064E-137   1.8667E-175   8.2309E-175   4.8433E-220   1.9422E-159   1.5404E-174   9.5630E-205   1.3135E-164   6.3858E-114   6.1589E-177   1.1158E-168   1.0454E-121   5.0768E-105   4.8433E-220   3.7316E-174   4.8433E-220   6.9206E-79    1.3845E-154   3.7316E-174   4.8433E-220   8.2258E-194   4.8433E-220   9.6502E-141   
0170.00       3.0000E+2     6.2187E-12    2.4386E-20    1.0630E-24    9.1287E-31    3.3223E-30    1.3069E-76    5.8624E-36    5.4678E-41    5.9080E-36    5.2765E-87    3.7107E-131   4.0815E-141   4.1901E-10    4.4666E-18    5.4153E-29    3.4842E-32    2.5036E-216   1.0000E+0     2.4618E-93    1.2365E-144   5.9808E-18    1.8854E-70    4.9470E-110   2.2241E-96    8.2465E-93    2.8392E-52    4.2014E-63    8.5885E-61    1.9978E-77    4.9903E-95    4.2205E-148   5.3744E-78    5.8217E-166   3.1318E-134   1.4188E-175   3.4951E-142   1.2577E-131   1.1826E-117   3.1882E-92    5.2021E-155   4.0212E-138   6.2224E-176   2.7436E-175   1.6144E-220   6.4740E-160   5.1348E-175   3.1877E-205   4.3783E-165   2.1286E-114   2.0530E-177   3.7192E-169   3.4848E-122   1.6923E-105   1.6144E-220   1.2439E-174   1.6144E-220   2.3069E-79    4.6150E-155   1.2439E-174   1.6144E-220   2.7419E-194   1.6144E-220   3.2167E-141   
