T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E+6     2.5403E-33    2.4336E-48    2.3725E-61    5.0846E-77    3.6407E-71    2.5436E-167   4.5070E-87    9.5978E-98    4.8067E-87    1.1529E-192   4.7800E-217   4.7800E-217   2.3987E-30    1.0354E-46    2.8050E-70    5.0717E-78    4.7800E-217   1.0000E+0     5.8977E-203   4.7800E-217   5.8240E-42    1.3388E-157   4.7800E-217   2.0721E-208   9.7127E-206   2.4244E-121   2.2743E-142   6.4548E-139   4.4726E-174   5.6953E-209   4.7800E-217   2.0570E-177   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.8927E-207   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.2998E-181   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0080.00       3.0000E+6     8.4931E-34    8.1203E-49    7.9342E-62    9.8001E-78    1.2197E-71    8.4829E-168   1.5144E-87    3.2250E-98    1.6151E-87    3.8525E-193   4.7800E-217   4.7800E-217   8.0520E-31    3.4687E-47    9.3970E-71    1.7029E-78    4.7800E-217   1.0000E+0     3.4119E-203   4.7800E-217   3.3676E-42    2.5702E-158   4.7800E-217   6.9002E-209   3.2571E-206   8.1321E-122   7.6020E-143   2.1613E-139   1.4972E-174   1.9027E-209   4.7800E-217   6.8809E-178   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.3108E-207   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.4333E-181   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       1.0000E+6     1.7483E-29    3.7525E-43    2.6898E-54    1.6899E-68    3.0032E-63    5.2006E-149   5.9035E-77    1.9160E-86    6.2067E-77    3.4533E-171   4.7800E-217   4.7800E-217   8.3864E-27    2.8276E-41    2.3850E-62    4.2273E-69    4.7800E-217   1.0000E+0     2.6481E-180   4.7800E-217   3.6131E-37    8.6026E-141   1.4863E-209   7.3140E-186   1.4466E-182   1.6378E-107   2.0102E-126   3.3343E-123   1.7453E-154   8.7580E-186   4.7800E-217   2.9865E-157   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.7580E-183   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.1002E-211   4.7800E-217   4.7800E-217   4.7800E-217   2.0078E-160   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       3.0000E+6     5.8434E-30    1.2519E-43    8.9921E-55    3.2565E-69    1.0055E-63    1.7343E-149   1.9819E-77    6.4324E-87    2.0837E-77    1.1537E-171   4.7800E-217   4.7800E-217   2.8130E-27    9.4673E-42    7.9853E-63    1.4182E-69    4.7800E-217   1.0000E+0     1.5316E-180   4.7800E-217   2.0888E-37    1.6519E-141   4.9388E-210   2.4358E-186   4.8479E-183   5.4899E-108   6.7172E-127   1.1159E-123   5.8396E-155   2.9252E-186   4.7800E-217   9.9861E-158   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   5.8901E-184   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.0443E-211   4.7800E-217   4.7800E-217   4.7800E-217   6.6928E-161   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       1.0000E+6     1.9434E-26    5.1382E-39    1.1101E-48    1.1651E-61    6.2292E-57    2.2975E-134   6.7518E-69    1.9382E-77    7.0225E-69    5.1092E-154   4.7800E-217   4.7800E-217   5.6100E-24    5.6857E-37    5.2486E-56    5.6463E-62    4.7800E-217   1.0000E+0     3.4720E-162   4.7800E-217   2.2812E-33    3.0467E-127   2.3581E-189   9.2144E-168   4.3713E-164   1.8108E-96    1.1136E-113   1.1970E-110   7.9840E-139   3.0798E-167   4.7800E-217   3.9338E-141   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.9271E-207   8.8754E-165   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.2377E-202   4.7800E-217   4.7800E-217   4.7800E-217   3.7074E-189   4.7800E-217   4.7800E-217   4.7800E-217   6.6401E-144   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       3.0000E+6     6.4936E-27    1.7141E-39    3.7100E-49    2.2449E-62    2.0847E-57    7.6614E-135   2.2651E-69    6.5021E-78    2.3559E-69    1.7065E-154   4.7800E-217   4.7800E-217   1.8805E-24    1.9028E-37    1.7565E-56    1.8931E-62    4.7800E-217   1.0000E+0     2.0078E-162   4.7800E-217   1.3186E-33    5.8517E-128   7.8383E-190   3.0690E-168   1.4641E-164   6.0664E-97    3.7201E-114   4.0043E-111   2.6704E-139   1.0284E-167   4.7800E-217   1.3149E-141   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.4405E-208   2.9721E-165   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.1223E-203   4.7800E-217   4.7800E-217   4.7800E-217   1.2418E-189   4.7800E-217   4.7800E-217   4.7800E-217   2.2134E-144   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0110.00       1.0000E+6     5.7658E-24    1.2128E-35    4.1408E-44    4.7736E-56    8.9013E-52    2.1929E-122   2.4750E-62    4.2298E-70    2.5530E-62    5.5924E-140   1.1758E-208   4.7800E-217   1.1295E-21    1.7313E-33    8.1007E-51    3.7400E-56    4.7800E-217   1.0000E+0     2.2946E-147   4.7800E-217   2.7530E-30    4.5049E-116   9.1443E-173   6.6776E-153   5.1671E-149   1.8928E-87    2.8976E-103   2.1767E-100   5.0685E-126   4.5691E-152   4.7800E-217   5.9638E-128   4.7800E-217   7.7062E-215   4.7800E-217   4.7800E-217   2.4655E-210   2.2349E-188   1.7087E-149   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.5327E-184   4.7800E-217   4.7800E-217   6.2958E-197   2.2581E-171   4.7800E-217   4.7800E-217   4.7800E-217   2.1136E-130   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0110.00       3.0000E+6     1.9262E-24    4.0456E-36    1.3835E-44    9.1969E-57    2.9779E-52    7.3123E-123   8.2982E-63    1.4182E-70    8.5598E-63    1.8675E-140   3.9307E-209   4.7800E-217   3.7843E-22    5.7921E-34    2.7101E-51    1.2533E-56    4.7800E-217   1.0000E+0     1.3267E-147   4.7800E-217   1.5912E-30    8.6539E-117   3.0403E-173   2.2242E-153   1.7299E-149   6.3382E-88    9.6782E-104   7.2795E-101   1.6947E-126   1.5255E-152   4.7800E-217   1.9930E-128   4.7800E-217   2.5706E-215   4.7800E-217   4.7800E-217   8.2364E-211   7.4674E-189   5.7197E-150   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.1760E-184   4.7800E-217   4.7800E-217   2.1040E-197   7.5600E-172   4.7800E-217   4.7800E-217   4.7800E-217   7.0452E-131   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0120.00       1.0000E+6     6.3766E-22    7.6752E-33    2.5574E-40    2.3463E-51    1.7148E-47    2.0985E-112   6.9109E-57    5.2255E-64    7.0830E-57    2.7507E-128   3.5468E-191   1.2098E-204   9.2546E-20    1.2890E-30    1.7042E-46    2.6078E-51    4.7800E-217   1.0000E+0     5.1046E-135   8.7200E-207   9.6558E-28    1.0764E-106   6.8507E-159   1.7800E-140   1.7146E-136   6.0177E-80    1.3558E-94    7.5345E-92    2.3180E-115   1.9966E-139   1.9653E-215   5.6586E-117   4.7800E-217   1.2239E-196   4.7800E-217   1.2332E-206   1.4268E-192   1.6971E-172   9.0088E-137   4.7800E-217   2.7012E-201   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.5722E-168   4.7800E-217   4.7800E-217   4.5918E-180   1.3878E-156   4.7800E-217   4.7800E-217   4.7800E-217   3.6855E-119   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.3551E-206   
0120.00       3.0000E+6     2.1298E-22    2.5601E-33    8.5431E-41    4.5200E-52    5.7352E-48    6.9975E-113   2.3160E-57    1.7512E-64    2.3736E-57    9.1843E-129   1.1854E-191   4.0382E-205   3.0993E-20    4.3110E-31    5.6998E-47    8.7349E-52    4.7800E-217   1.0000E+0     2.9511E-135   5.0345E-207   5.5804E-28    2.0682E-107   2.2782E-159   5.9292E-141   5.7381E-137   2.0143E-80    4.5275E-95    2.5190E-92    7.7488E-116   6.6652E-140   6.5445E-216   1.8906E-117   4.7800E-217   4.0823E-197   4.7800E-217   4.1129E-207   4.7656E-193   5.6694E-173   3.0145E-137   4.7800E-217   8.9711E-202   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   8.5685E-169   4.7800E-217   4.7800E-217   1.5342E-180   4.6446E-157   4.7800E-217   4.7800E-217   4.7800E-217   1.2285E-119   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   7.8293E-207   
