,layer,temp.[K],press.[10^-6bar],altitude[cm],height.of.layer[cm],"conv.unstable?[1:yes,0:no]","conv.lapse-rate?[1:yes,0:no]",pl.eff.temp.[K],press.[MPa]
85,84,408.573,8.20117,735686000.0,6180570.0,0,0,,0.8201169999999999
86,85,415.065,6.57933,741916000.0,6278780.0,0,0,,0.657933
87,86,421.064,5.27823,748240000.0,6369540.0,0,0,,0.527823
88,87,426.242,4.23442,754649000.0,6447860.0,0,0,,0.423442
89,88,430.383,3.39704,761128000.0,6510500.0,0,0,,0.339704
90,89,433.579,2.72525,767662000.0,6558850.0,0,0,,0.272525
91,90,435.728,2.18632,774238000.0,6591350.0,0,0,,0.21863199999999997
92,91,436.679,1.75396,780836000.0,6605740.0,0,0,,0.175396
93,92,436.776,1.4071,787443000.0,6607210.0,0,0,,0.14071
94,93,436.237,1.12884,794046000.0,6599060.0,0,0,,0.112884
95,94,435.094,0.905603,800636000.0,6581770.0,0,0,,0.0905603
96,95,433.403,0.726514,807205000.0,6556190.0,0,0,,0.07265139999999999
97,96,431.265,0.582841,813745000.0,6523850.0,0,0,,0.058284100000000005
98,97,428.613,0.467581,820249000.0,6483720.0,0,0,,0.046758100000000004
99,98,425.396,0.375113,826708000.0,6435060.0,0,0,,0.0375113
100,99,421.618,0.300932,833115000.0,6377910.0,0,0,,0.030093199999999997
101,100,417.426,0.241421,839461000.0,6314500.0,0,0,,0.0241421
102,101,413.119,0.193678,845743000.0,6249350.0,0,0,,0.0193678
103,102,408.629,0.155377,851958000.0,6181420.0,0,0,,0.0155377
104,103,402.698,0.12465,858095000.0,6091700.0,0,0,,0.012465
105,104,380.279,0.1,864017000.0,5752570.0,0,0,,0.01
