,T/K,P/MPa,H2O(g),H2(g),H2S(g),HCl(g),HF(g),H(g),HCOOH(g;cis),HCOOH(g;trans),HCOOH(g),OH(g),O2(g),O(g),CO2(g),CH4(g),CO(g),COS(g),C(g),N2(g),NO(g),N(g),NH3(g),NaCl(g),Na(g),NaOH(g),KOH(g),SO2(g),SH(g),S2(g),SO(g),S(g),Fe(g),Fe(OH)2(g),FeO(g),FeOH(g),FeO2(g),Ni(g),NiS(g),NiOH(g),Ni(OH)2(g),Mn(g),MnH(g),SiO(g),SiO2(g),Si(g),PO(g),Mg(g),MgO(g),MgOH(g),Mg(OH)2(g),MgS(g),CrO2(g),Cr(OH)2(g),Cr(OH)3(g),AlO(g),AlOH(g),Al(g),Al(OH)3(g),Al(OH)2(g),AlOH(g).1,CaO(g),CaOH(g),Ca(g),Ca(OH)2(g),layer,temp.[K],press.[10^-6bar],altitude[cm],height.of.layer[cm],"conv.unstable?[1:yes,0:no]","conv.lapse-rate?[1:yes,0:no]",pl.eff.temp.[K],press.[MPa]
10,3170.0,10000000.0,0.017258,2.9811e-05,6.9428e-07,0.00017953,0.00012589,1.4153e-07,4.1772e-05,2.3672e-05,6.4103e-05,3.0459e-05,1.9526e-05,8.6796e-08,0.0081373,7.9317e-10,0.00010946,1.1861e-07,3.0056e-16,0.58291,0.00048155,3.0006e-09,7.634e-05,5.0912e-07,1.8099e-10,4.7776e-07,1.1001e-06,0.00076443,5.3734e-08,8.0182e-10,2.141e-06,1.1435e-09,4.9419e-12,0.00013014,2.3942e-10,7.5992e-09,1.1417e-09,7.747e-10,3.6572e-11,1.8968e-06,0.0012381,9.2747e-12,5.6294e-10,9.0774e-11,1.3122e-09,4.5064e-18,3.391e-07,3.467e-13,3.7934e-11,1.4267e-09,2.3135e-05,4.8974e-14,5.09e-08,5.8365e-06,0.00069926,4.9679e-13,3.381e-10,2.3002e-16,0.0047091,3.3131e-07,3.381e-10,1.3449e-17,8.41e-15,1.3308e-19,4.5972e-10,9,3165.67,123285000.0,-114301000.0,12028900.0,0,0,,12328500.0
11,3080.0,10000000.0,0.015704,1.6346e-05,7.7476e-08,0.0001414,0.00011151,8.1203e-08,2.2413e-05,1.2469e-05,3.4181e-05,2.7221e-05,3.0772e-05,8.1965e-08,0.0081094,1.0512e-10,6.4264e-05,1.4073e-08,5.5389e-17,0.5877,0.00054891,1.7642e-09,3.2935e-05,4.4427e-07,1.1952e-10,4.0427e-07,9.5099e-07,0.00033182,6.7562e-09,2.7228e-11,5.2937e-07,1.6529e-10,1.7354e-12,8.6236e-05,1.2576e-10,3.4111e-09,9.3842e-10,3.289e-10,3.2863e-12,1.0659e-06,0.00092128,3.4109e-12,1.6781e-10,3.1755e-11,7.2736e-10,6.754400000000001e-19,1.2906e-07,1.3227e-13,2.0146e-11,6.8752e-10,1.6021e-05,3.7217e-15,3.927e-08,3.0837e-06,0.00047086,1.8268e-13,1.2369e-10,5.079e-17,0.0035618,1.5787e-07,1.2369e-10,1.0348e-17,6.186e-15,7.1488e-20,4.9536e-10,10,3084.44,98904300.0,-102426000.0,11720200.0,0,0,,9890430.0
12,3010.0,10000000.0,0.014535,9.9982e-06,1.2884e-08,0.0001162,0.00010078,5.154e-08,1.3449e-05,7.3687e-06,2.0406e-05,2.4814e-05,4.4599e-05,7.8155e-08,0.0080721,2.0128e-11,4.1486e-05,2.4566e-09,1.3856e-17,0.53614,0.00058119,1.0871e-09,1.5768e-05,3.964e-07,8.496e-11,3.5192e-07,8.4263e-07,0.00016749,1.2383e-09,1.7101e-12,1.6866e-07,3.3955e-11,7.3589e-13,6.1504e-05,7.4098e-11,1.7682e-09,7.969e-10,1.6288e-10,4.5726e-13,6.6412e-07,0.00072248,1.5017e-12,6.2228e-11,1.3418e-11,4.4788e-10,1.4271000000000002e-19,5.7326e-08,6.0022e-14,1.198e-11,3.7763e-10,1.1846e-05,4.5131e-16,3.1664e-08,1.8262e-06,0.00034019,8.0396e-14,5.4201e-11,1.4722e-17,0.00283,8.5892e-08,5.4201e-11,8.304e-18,4.7787e-15,4.2717000000000004e-20,5.231e-10,11,3005.29,79345400.0,-90856600.0,11419500.0,0,0,,7934540.0
13,2930.0,3000000.0,0.044137,1.8479e-05,4.9929e-09,0.0003057,0.00029687,9.9563e-08,2.4241e-05,1.3042e-05,3.6561e-05,7.3948e-05,0.00023169,2.458e-07,0.026696,9.2339e-12,8.1602e-05,1.007e-09,8.7382e-18,0.5515,0.0012167,1.1893e-09,1.2755e-05,1.1487e-06,1.876e-10,9.9068e-07,2.4234e-06,0.00024562,5.391e-10,2.0608e-13,1.4248e-07,1.6949e-11,8.7456e-13,0.00013643,1.3059e-10,2.6739e-09,2.1752e-09,2.3309e-10,1.4288e-13,1.2522e-06,0.0017957,1.8663e-12,6.2955e-11,1.5868e-11,8.3206e-10,7.3498e-20,4.6895e-08,7.7376e-14,2.135e-11,6.1198e-10,2.744e-05,1.1956e-16,7.916e-08,3.1569e-06,0.00074676,9.9813e-14,6.6936e-11,1.1073e-17,0.0071432,1.3754e-07,6.6936e-11,2.1118e-17,1.1593e-14,7.6182e-20,1.847e-09,12,2927.82,63654300.0,-79584300.0,11125100.0,0,0,,6365430.0
14,2850.0,3000000.0,0.040521,1.1299e-05,8.4565e-10,0.00024104,0.00026225,5.976e-08,1.4413e-05,7.6062e-06,2.1602e-05,6.2326e-05,0.00029235,2.0544e-07,0.026422,1.8701e-12,5.2474e-05,1.7825e-10,1.9027e-18,0.44192,0.0011017,6.1078e-10,5.7973e-06,9.8803e-07,1.2771e-10,8.2705e-07,2.0698e-06,0.00011749,9.6684e-11,1.2857e-14,4.2836e-08,3.2902e-12,3.4369e-13,9.3392e-05,6.9138e-11,1.2862e-09,1.6234e-09,1.0718e-10,1.9012e-14,7.3138e-07,0.0013331,7.6866e-13,2.2278e-11,5.9645e-12,4.48e-10,1.2927e-20,1.9997e-08,3.186e-14,1.1e-11,3.0447e-10,1.8906e-05,1.3357e-17,4.9986e-08,1.5409e-06,0.00044542,3.7233e-14,2.6496e-11,2.7359e-18,0.0054231,6.7999e-08,2.6496e-11,1.5162e-17,8.4384e-15,4.2232e-20,1.8969e-09,13,2851.6,51066300.0,-68604000.0,10835500.0,0,0,,5106630.0
15,2780.0,3000000.0,0.038127,8.6112e-06,3.2823e-10,0.00019698,0.00023633,4.0884e-08,1.0686e-05,5.5401e-06,1.5925e-05,4.9481e-05,0.00026099,1.478e-07,0.02612,8.5588e-13,4.1047e-05,7.0637e-11,6.461700000000001e-19,0.44773,0.00095113,3.6836e-10,4.1046e-06,8.5756e-07,9.6162e-11,6.9878e-07,1.7863e-06,7.1336e-05,3.6116e-11,2.7556e-15,1.9971e-08,1.2074e-12,1.8039e-13,7.072e-05,4.0537e-11,7.5638e-10,1.1083e-09,6.1557e-11,5.796e-15,4.8712e-07,0.0010303,4.2113e-13,1.1623e-11,2.8445e-12,2.5267e-10,3.6071e-21,1.0816e-08,1.6531e-14,5.9579e-12,1.7487e-10,1.364e-05,3.4653e-18,3.011e-08,8.7882e-07,0.00028433,1.6246e-14,1.3368e-11,9.614600000000001e-19,0.0043159,3.9168e-08,1.3368e-11,1.0516e-17,6.4814e-15,2.7147e-20,1.8612e-09,14,2776.09,40967600.0,-57912000.0,10548600.0,0,0,,4096760.0
16,2700.0,3000000.0,0.035408,6.1951e-06,1.0416e-10,0.00015423,0.00021081,2.5849e-08,7.4219e-06,3.7664e-06,1.0986e-05,3.7462e-05,0.00022809,9.9467e-08,0.025697,3.3131e-13,3.04e-05,2.2938e-11,1.7479000000000002e-19,0.45331,0.00079608,1.9985e-10,2.6966e-06,7.2054e-07,6.8095e-11,5.6882e-07,1.492e-06,3.8976e-05,1.095e-11,4.2588e-16,7.9264e-09,3.5865e-13,8.2567e-14,5.0451e-05,2.1227e-11,3.9736e-10,6.9767e-10,3.1424e-11,1.3733e-15,2.9758e-07,0.00075383,2.0293e-13,5.2765e-12,1.1602e-12,1.2636e-10,7.701499999999999e-22,5.128e-09,7.4673e-15,2.838e-12,8.9323e-11,9.1843e-06,6.757700000000001e-19,1.6326e-08,4.4595e-07,0.00016548,5.583e-15,5.4661e-12,2.5402e-19,0.0030644,1.8806e-08,5.4661e-12,6.7205e-18,4.6713e-15,1.578e-20,1.8038e-09,15,2700.67,32866000.0,-47506700.0,10262000.0,0,0,,3286600.0
17,2620.0,3000000.0,0.033494,5.5154e-06,7.4756e-11,0.00012163,0.00019092,1.7862e-08,6.3513e-06,3.1506e-06,9.3356e-06,2.5387e-05,0.00012983,5.2955e-08,0.025187,2.9352e-13,2.7188e-05,1.6439e-11,6.6283e-20,0.88347,0.0007407,1.449e-10,3.3992e-06,5.968e-07,5.1699e-11,4.5598e-07,1.2294e-06,2.5885e-05,6.662e-12,2.1671e-16,4.6284e-09,1.9006e-13,4.7561e-14,3.8633e-05,1.1428e-11,2.4134e-10,3.698e-10,1.8949e-11,7.054e-16,1.9781e-07,0.00055297,1.2339e-13,3.3849e-12,5.5123e-13,6.0429e-11,2.2734e-22,1.7926e-09,3.9556e-15,1.2893e-12,4.9095e-11,6.169e-06,2.8230000000000003e-19,7.6658e-09,2.4677e-07,9.6529e-05,1.908e-15,2.5226e-12,8.0991e-20,0.0021095,9.3772e-09,2.5226e-12,3.866e-18,3.4232e-15,1.0108e-20,1.649e-09,16,2624.44,26366500.0,-37389600.0,9972320.0,0,0,,2636650.0
18,2550.0,3000000.0,0.031171,4.0556e-06,2.573e-11,9.5575e-05,0.00017138,1.148e-08,4.4933e-06,2.1826e-06,6.5623e-06,1.9167e-05,0.00011028,3.5338e-08,0.024664,1.2277e-13,2.043e-05,5.7522e-12,1.8807e-20,0.93795,0.00062701,8.139e-11,2.3622e-06,4.996e-07,3.6898e-11,3.7062e-07,1.0253e-06,1.4494e-05,2.1739e-12,3.7847e-17,1.9226e-09,6.0314e-14,2.2406e-14,2.7807e-05,6.0499e-12,1.2935e-10,2.3078e-10,9.8878e-12,1.8151e-16,1.224e-07,0.00040617,6.1098e-14,1.5941e-12,2.3063e-13,3.0447e-11,5.1168e-23,3.2245e-10,1.831e-15,6.1954e-13,2.5466e-11,4.1762e-06,5.998e-20,4.1576e-09,1.2776e-07,5.6876e-05,6.439e-16,1.017e-12,2.1406e-20,0.0014463,4.4002e-09,1.017e-12,2.4424e-18,2.4446e-15,5.8859e-21,1.5659e-09,17,2546.12,21152400.0,-27566100.0,9674720.0,0,0,,2115240.0
19,2460.0,1000000.0,0.081413,5.3824e-06,4.0008e-12,0.00019782,0.00043011,1.5442e-08,5.6394e-06,2.6614e-06,8.1649e-06,4.5785e-05,0.00053761,8.6868e-08,0.071636,2.4917e-14,2.8948e-05,9.4869e-13,4.9286e-21,0.83721,0.0011174,5.8046e-11,1.2479e-06,1.1693e-06,5.9373e-11,8.3403e-07,2.3908e-06,1.3228e-05,3.8266e-13,1.1424e-18,8.179e-10,1.2452e-14,1.4894e-14,4.5301e-05,6.7248e-12,1.2012e-10,4.5776e-10,8.5097e-12,1.9685e-17,1.558e-07,0.00076597,4.3457e-14,8.6932e-13,1.4664e-13,3.5618e-11,9.770900000000001e-24,4.6083e-11,1.3379e-15,6.7952e-13,2.5456e-11,7.0437e-06,5.0055e-21,6.4317e-09,1.2521e-07,7.7973e-05,3.6461e-16,6.0272e-13,6.078899999999999e-21,0.002434,3.7597e-09,6.0272e-13,4.3524e-18,4.2198e-15,6.5639999999999994e-21,4.6763e-09,18,2463.75,16969300.0,-18047900.0,9361740.0,0,1,,1696930.0
20,2370.0,1000000.0,0.093944,4.1937e-05,1.172e-08,0.00024387,0.00043343,2.8211e-08,4.1236e-05,1.8867e-05,5.916e-05,1.1086e-05,4.6326e-06,5.0134e-09,0.068895,9.4204e-11,0.00017974,2.2007e-09,6.9695e-20,0.83195,8.7272e-05,2.3687e-11,2.9911e-05,1.2038e-06,9.6207e-11,6.0014e-07,1.322e-06,7.0936e-05,2.9584e-10,1.1557e-13,2.6992e-08,2.6408e-12,9.8767e-14,7.5615e-05,5.5422e-12,3.5351e-10,5.0253e-11,3.0933e-11,2.9144e-14,2.6729e-07,0.00062152,3.0976e-13,2.0162e-11,3.8478e-13,1.2884e-11,9.8367e-23,3.632e-10,4.0792e-15,2.2943e-13,3.3655e-11,5.0681e-06,5.5913e-18,8.4148e-10,1.8821e-07,5.2138e-05,2.2611e-16,1.6976e-12,2.5066e-20,0.0020234,4.8625e-09,1.6976e-12,9.876200000000001e-19,3.9938e-15,1.2546e-20,2.4726e-09,19,2374.42,13613500.0,-8855840.0,9022310.0,0,1,,1361350.0
21,2290.0,1000000.0,0.082507,2.0898e-05,1.2876e-09,0.00021512,0.00038063,1.3292e-08,1.9279e-05,8.5635e-06,2.7424e-05,8.2745e-06,5.8978e-06,3.5939e-09,0.066118,1.0123e-11,9.3694e-05,2.5153e-10,7.3054e-21,0.84805,8.4551e-05,1.0196e-11,1.1699e-05,1.0179e-06,4.5999e-11,3.8237e-07,7.6832e-07,3.2208e-05,3.438e-11,4.0803e-15,6.3641e-09,3.3704e-13,2.4727e-14,4.2494e-05,2.0684e-12,1.1792e-10,2.9855e-11,9.6794e-12,2.1734e-15,1.1821e-07,0.00038935,8.3046e-14,4.419e-12,8.8174e-14,4.8635e-12,7.459200000000001e-24,3.3055e-11,1.0794e-15,8.1129e-14,1.1601e-11,2.8307e-06,3.1874e-19,3.9797e-10,6.4388e-08,2.3841e-05,4.3247e-17,3.6456e-13,2.6778e-21,0.0011363,1.4377e-09,3.6456e-13,4.0317000000000006e-19,1.685e-15,3.579799999999999e-21,1.7319e-09,20,2286.8,10921400.0,0.0,8689370.0,0,1,,1092140.0
22,2200.0,1000000.0,0.070491,9.0767e-06,9.1955e-11,0.00016426,0.0003226,5.3701e-09,7.7206e-06,3.3086e-06,1.0871e-05,5.7746e-06,7.7446e-06,2.3774e-09,0.062604,7.0434e-13,4.273e-05,1.8751e-11,4.8204e-22,0.86489,8.0396e-05,3.666e-12,3.8036e-06,7.351e-07,1.8823e-11,2.2055e-07,3.841e-07,1.2454e-05,2.6141e-12,7.4864e-17,1.1236e-09,2.8574e-14,4.6555e-15,2.1149e-05,6.253e-13,3.1301e-11,1.5686e-11,2.3133e-12,9.4024e-17,4.2794e-08,0.00021418,1.6979e-14,7.1165e-13,1.4864e-14,1.4874e-12,3.3274000000000004e-25,1.8765e-12,2.1679e-16,2.294e-14,3.195e-12,1.3947e-06,1.0255e-20,1.6172e-10,1.7892e-08,9.3877e-06,5.9224e-18,5.7689e-14,1.8266999999999998e-22,0.00057233,3.3389e-10,5.7689e-14,1.3399000000000001e-19,5.8428e-16,7.764799999999999e-22,1.1057e-09,21,2201.35,8761610.0,8527030.0,8364680.0,0,1,,876161.0
23,2120.0,1000000.0,0.060594,4.1152e-06,7.8448e-12,0.00012903,0.00027399,2.2616e-09,3.2258e-06,1.3356e-06,4.4991e-06,4.0675e-06,9.8669e-06,1.5838e-09,0.059133,5.651e-14,2.0191e-05,1.659e-12,3.5963e-23,0.87895,7.5749e-05,1.3717e-12,1.3111e-06,5.3514e-07,7.8414e-12,1.2717e-07,1.82e-07,5.2232e-06,2.3563e-13,1.8263e-18,2.2413e-10,2.8465e-15,9.4446e-16,1.0828e-05,1.9793e-13,8.7955e-12,8.3541e-12,5.5489e-13,4.6616e-18,1.5236e-08,0.00011356,3.7261e-15,1.2485e-13,2.7032e-15,4.7504e-13,1.706e-26,1.3066e-13,4.6677e-17,6.8002e-15,9.2731e-13,7.0541e-07,4.0601e-22,6.9645e-11,5.4124e-09,3.9572e-06,9.058700000000001e-19,1.0179e-14,1.4434e-23,0.00030485,8.483e-11,1.0179e-14,4.4158000000000004e-20,2.0111e-16,1.7111999999999998e-22,6.813e-10,22,2117.93,7028940.0,16733200.0,8047690.0,0,1,,702894.0
