,T/K,P/MPa,H2O(g),H2(g),H2S(g),HCl(g),HF(g),H(g),HCOOH(g;cis),HCOOH(g;trans),HCOOH(g),OH(g),O2(g),O(g),CO2(g),CH4(g),CO(g),COS(g),C(g),N2(g),NO(g),N(g),NH3(g),NaCl(g),Na(g),NaOH(g),KOH(g),SO2(g),SH(g),S2(g),SO(g),S(g),Fe(g),Fe(OH)2(g),FeO(g),FeOH(g),FeO2(g),Ni(g),NiS(g),NiOH(g),Ni(OH)2(g),Mn(g),MnH(g),SiO(g),SiO2(g),Si(g),PO(g),Mg(g),MgO(g),MgOH(g),Mg(OH)2(g),MgS(g),CrO2(g),Cr(OH)2(g),Cr(OH)3(g),AlO(g),AlOH(g),Al(g),Al(OH)3(g),Al(OH)2(g),AlOH(g).1,CaO(g),CaOH(g),Ca(g),Ca(OH)2(g),layer,temp.[K],press.[10^-6bar],altitude[cm],height.of.layer[cm],"conv.unstable?[1:yes,0:no]","conv.lapse-rate?[1:yes,0:no]",pl.eff.temp.[K],press.[MPa]
24,2040.0,1000000.0,0.052828,2.3024e-06,4.3202e-12,0.00017022,0.00027943,1.0204e-09,1.6116e-06,6.4299e-07,2.2253e-06,2.4965e-06,7.8307e-06,7.9931e-10,0.054181,1.0245e-14,1.1202e-05,9.0173e-13,3.4884e-24,0.89192,5.5458e-05,4.7471e-13,6.2504e-07,3.7807e-07,2.0315e-12,4.192e-08,6.5641e-08,7.4568e-06,1.2014e-13,1.1836e-18,1.8365e-10,1.4112e-15,2.3359e-16,5.8454e-06,6.183e-14,2.7715e-12,3.5737e-12,1.5161e-13,1.3894e-18,5.7149e-09,5.8712e-05,9.4657e-16,2.8563e-14,5.3599e-16,1.3527e-13,1.1052e-27,5.6977e-14,1.1593e-17,1.8663e-15,2.8482e-13,3.5394e-07,9.703e-23,2.4758e-11,1.7297e-09,1.6236e-06,1.3485000000000002e-19,2.024e-15,1.3466e-24,0.00016061,2.2414e-11,2.024e-15,4.357699999999999e-21,2.3788e-17,1.3965e-23,1.3542e-10,23,2036.38,5638920.0,24626000.0,7737810.0,0,1,,563892.0
25,1960.0,30000.0,0.63422,2.795e-05,5.7781e-11,0.00062006,0.00045704,1.189e-08,3.7268e-06,1.4284e-06,5.0917e-06,2.4818e-05,7.6203e-05,7.7882e-09,0.35344,1.4426e-14,6.9296e-05,6.12e-12,5.3486e-24,0.0091664,1.4071e-05,8.7528e-14,9.1879e-08,2.1241e-06,3.934e-11,5.3301e-07,7.7971e-07,0.00015346,1.7887e-12,3.0996e-17,3.3861e-09,2.4684e-14,3.2872e-15,4.907e-05,6.8571e-13,2.5656e-11,3.4072e-11,2.0201e-12,2.2829e-17,5.4316e-08,0.00039998,1.5447e-14,3.44e-13,1.8026e-15,4.1243e-13,1.8115e-27,1.5808e-14,3.8974e-16,4.285e-14,6.0958e-12,6.5278e-06,3.515e-21,2.1036e-10,8.9589e-09,5.5858e-06,7.297000000000001e-19,1.2365e-14,7.1729e-24,0.00072245,9.431e-11,1.2365e-14,2.5856000000000004e-19,1.4161e-15,1.0997999999999998e-21,7.1563e-09,24,1956.56,4523790.0,32212100.0,7434510.0,0,1,,452379.0
26,1880.0,30000.0,0.634,2.838e-05,5.8439e-10,0.00062248,0.00046022,6.6304e-09,3.6817e-06,1.351e-06,4.9738e-06,1.1599e-05,1.9901e-05,2.0444e-09,0.35371,2.5472e-14,6.5618e-05,5.7508e-11,1.1192000000000001e-24,0.0091786,5.6659e-06,2.5023e-14,1.088e-07,6.5357e-07,7.286e-12,1.0869e-07,1.4851e-07,0.00080986,1.1656e-11,1.9173e-15,1.5912e-08,1.0995e-13,1.2876e-15,3.3206e-05,2.0673e-13,1.1095e-11,8.6842e-12,7.461e-13,9.5047e-17,2.4184e-08,0.00021594,6.6725e-15,1.8639e-13,6.7399e-16,1.3833e-13,3.1179e-28,6.6616e-14,8.6974e-17,6.3118e-15,1.4485e-12,2.2979e-06,7.646999999999999e-21,4.7496e-11,3.6005e-09,2.5081e-06,1.013e-19,3.4108e-15,9.810600000000001e-25,0.00043298,3.0195e-11,3.4108e-15,5.7974e-21,5.5458e-17,3.3577e-23,4.2846e-10,25,1878.81,3629180.0,39498900.0,7139070.0,0,1,,362918.0
27,1800.0,30000.0,0.49853,1.2872e-05,1.4185e-10,0.0008516,0.00062172,2.3465e-09,2.2276e-06,7.7957e-07,2.9739e-06,5.9673e-06,1.4356e-05,8.41e-10,0.48609,4.1618e-15,4.8073e-05,2.2479e-11,8.9889e-26,0.012615,4.3486e-06,7.5028e-15,4.5667e-08,5.6279e-07,1.7698e-12,3.4562e-08,4.4105e-08,0.00067542,2.624e-12,3.2821e-16,6.6284e-09,2.4501e-14,1.9288e-16,1.2559e-05,4.1079e-14,2.1831e-12,2.5339e-12,1.423e-13,1.1118e-17,6.6695e-09,8.6708e-05,1.1568e-15,2.764e-14,9.5766e-17,3.0842e-14,1.0797000000000001e-29,8.0884e-15,1.1178e-17,9.1218e-16,2.3496e-13,6.7532e-07,5.1532e-22,1.2433e-11,7.896e-10,7.3321e-07,8.850099999999999e-21,4.2007e-16,4.7756e-26,0.00017296,5.1609e-12,4.2007e-16,6.064099999999999e-22,7.1025e-18,2.7816000000000002e-24,1.0278e-10,26,1803.25,2911490.0,46494400.0,6851960.0,0,1,,291149.0
28,1730.0,30000.0,0.49831,1.2731e-05,3.3635e-10,0.0008563,0.00062194,1.2667e-09,2.1444e-06,7.1741e-07,2.8317e-06,2.7517e-06,3.7778e-06,2.1662e-10,0.48627,6.7468e-15,4.4086e-05,4.9322e-11,1.6824999999999998e-26,0.012621,1.742e-06,2.0536e-15,5.2275e-08,3.3396e-07,6.1173e-13,1.3397e-08,1.6105e-08,0.00088629,3.9981e-12,1.1561e-15,7.5017e-09,2.5537e-14,6.1589e-17,7.3027e-06,1.0281e-14,7.8469e-13,5.4725e-13,4.8944e-14,1.0448e-17,2.8294e-09,4.5699e-05,3.761e-16,1.1224e-14,2.1027e-17,6.2341e-15,1.0343000000000001e-30,4.3386e-15,2.8738e-18,1.574e-16,6.5429e-14,2.8774e-07,3.1231e-22,2.6816e-12,3.0252e-10,3.2116e-07,1.1223e-21,1.0688e-16,5.7910000000000004e-27,0.00010177,1.558e-12,1.0688e-16,4.6872e-23,9.630600000000002e-19,2.8713e-25,2.1989e-11,27,1729.8,2335720.0,53206900.0,6572890.0,0,1,,233572.0
29,1660.0,30000.0,0.3882,9.842e-06,4.8011e-10,0.0010413,0.00041014,5.7471e-10,1.9669e-06,6.2668e-07,2.5677e-06,1.0477e-06,8.823e-07,4.9623e-11,0.59384,8.5832e-15,4.9109e-05,1.0131e-10,3.3591e-27,0.015414,7.1135e-07,5.5707e-16,4.6292e-08,3.0632e-07,2.2851e-13,4.9973e-09,5.6608e-09,0.00084561,3.9931e-12,2.3173e-15,6.1161e-09,1.9113e-14,1.7862e-17,3.1606e-06,2.2818e-15,2.283e-13,1.0312e-13,1.5376e-14,6.9898e-18,9.8477e-10,1.777e-05,1.0774e-16,3.6213e-15,4.2963e-18,1.1618e-15,8.630599999999999e-32,6.4663e-16,6.400400000000001e-19,2.2724e-17,1.4014e-14,8.6339e-08,1.2643e-22,5.0556e-13,8.3371e-11,9.0438e-08,1.1938e-22,2.1387e-17,5.883299999999999e-28,3.9409e-05,3.3123e-13,2.1387e-17,6.6112000000000004e-24,2.2089000000000003e-19,5.555899999999999e-26,7.2994e-12,28,1658.39,1873820.0,59644100.0,6301550.0,0,1,,187382.0
30,1590.0,30000.0,0.29454,7.4371e-06,7.0078e-10,0.001196,0.00016457,2.4343e-10,1.6638e-06,5.0268e-07,2.1459e-06,3.6486e-07,1.7994e-07,9.952e-12,0.68536,1.0447e-14,5.1416e-05,2.0482e-10,5.442799999999999e-28,0.017789,2.5772e-07,1.299e-16,3.9084e-08,2.5997e-07,7.8606e-14,1.7106e-09,1.8265e-09,0.00079046,3.9512e-12,4.8502e-15,4.8354e-09,1.3824e-14,4.647e-18,1.2648e-06,4.4208e-16,5.9428e-14,1.6648e-14,4.3604e-15,4.476e-18,3.1134e-10,6.325e-06,2.7631e-17,1.0577e-15,7.6406e-19,1.8647e-16,5.8189e-33,8.1293e-17,1.2472e-19,2.7594e-18,2.6081e-15,2.3154e-08,4.691e-23,8.1816e-14,2.0433e-11,2.2665e-08,1.0407e-23,3.7061e-18,4.8932e-29,1.3949e-05,6.1156e-14,3.7061e-18,7.8482e-25,4.4486e-20,9.330900000000001e-27,2.1925e-12,29,1588.99,1503260.0,65813800.0,6037810.0,0,1,,150326.0
31,1520.0,30000.0,0.2449,6.1854e-06,1.3064e-09,0.00128,7.5905e-05,1.0136e-10,1.4342e-06,4.0891e-07,1.8266e-06,1.2199e-07,3.1441e-08,1.7154e-12,0.73379,1.5265e-14,4.9634e-05,4.4356e-10,6.881400000000001e-29,0.019046,8.1037e-08,2.5367e-17,3.7316e-08,1.7998e-07,2.3445e-14,5.3736e-10,3.6109e-10,0.00079558,4.5325e-12,1.296e-14,4.0687e-09,1.0603e-14,1.0683e-18,5.2283e-07,7.3362e-17,1.4483e-14,2.2534e-15,1.1006e-15,3.0058e-18,9.3769e-11,2.2992e-06,6.0745e-18,2.8499e-16,1.1047000000000002e-19,2.4036e-17,2.931e-34,1.4061e-17,2.1394e-20,2.8212000000000003e-19,4.5055e-16,6.3243e-09,1.781e-23,1.1124e-14,4.9479e-12,5.9692e-09,7.232100000000001e-25,5.794300000000001e-19,3.2414000000000004e-30,5.3494e-06,1.0861e-14,5.794300000000001e-19,5.4379e-26,5.8332999999999994e-21,9.4762e-28,4.7155e-13,30,1521.67,1205980.0,71723700.0,5782030.0,0,1,,120598.0
32,1460.0,30000.0,0.24485,6.2111e-06,3.183e-09,0.0012881,5.1207e-05,4.8899e-11,1.398e-06,3.776e-07,1.7605e-06,4.7737e-08,6.1281e-09,3.3141e-13,0.73376,2.9253e-14,4.5166e-05,9.812e-10,9.428800000000001e-30,0.019045,2.6567e-08,5.3529e-18,4.5089e-08,1.0326e-07,7.0875e-15,1.8564e-10,6.824e-11,0.00090817,6.4261e-12,4.2324e-14,3.9421e-09,9.4576e-15,2.7088000000000003e-19,2.7222e-07,1.3677e-17,4.2239e-15,3.4597e-16,3.0437e-16,2.3682e-18,3.3313e-11,1.0613e-06,1.0363e-18,6.4239e-17,1.6934e-20,3.3024e-18,1.6855000000000002e-35,5.729e-18,4.2711999999999995e-21,3.4724e-20,9.8574e-17,2.3145e-09,8.5474e-24,1.7176e-15,1.5644e-12,2.2269e-09,5.991e-26,1.1172e-19,2.5753e-31,2.8321e-06,2.5701e-15,1.1172e-19,2.7417e-27,5.8258e-22,6.8476e-29,8.1445e-14,31,1456.41,967489.0,77381700.0,5534060.0,0,1,,96748.9
33,1390.0,30000.0,0.22807,5.847e-06,7.0732e-09,0.0013223,2.4482e-05,1.8696e-11,1.2966e-06,3.2686e-07,1.6106e-06,1.3893e-08,7.5466e-10,4.0551e-14,0.75022,6.0689e-14,4.1059e-05,2.1136e-09,7.6964e-31,0.019472,6.4491e-09,7.443700000000001e-19,5.2589e-08,5.5133e-08,1.5878e-15,4.7538e-11,1.2078e-11,0.00081267,7.3948e-12,1.1119e-13,2.8726e-09,6.2309e-15,4.7039e-20,1.1028e-07,1.5978e-18,8.4584e-16,3.1405e-17,5.902e-17,1.331e-18,8.5791e-12,3.6862e-07,1.4312000000000002e-19,1.2258e-17,1.5878999999999999e-21,2.6861000000000004e-19,4.547e-37,1.0125e-18,5.3916e-22,2.3642e-21,1.3483e-17,5.8972e-10,2.5243e-24,1.5732e-16,3.3549e-13,5.7017e-10,2.491e-27,1.3204e-20,1.0189e-32,1.1323e-06,3.8073e-16,1.3204e-20,8.9442e-29,4.3989999999999997e-23,3.5491e-30,1.194e-14,32,1393.16,776162.0,82795600.0,5293710.0,0,1,,77616.2
34,1330.0,30000.0,0.19146,4.9797e-06,1.0642e-08,0.0013862,9.2899e-06,7.1922e-12,1.1181e-06,2.6413e-07,1.3721e-06,4.1131e-09,1.0444e-10,5.6017e-15,0.7861,1.0134e-13,3.8608e-05,3.5286e-09,7.526599999999999e-32,0.020404,1.7183e-09,1.1793e-19,5.2688e-08,3.4412e-08,4.0635e-16,1.306e-11,3.2959e-12,0.0005725,6.3086e-12,1.7109e-13,1.6735e-09,3.3148e-15,9.053099999999999e-21,4.2282e-08,2.1109000000000002e-19,1.7626e-16,3.2587e-18,1.26e-17,6.0921e-19,2.2655e-12,1.2226e-07,2.8288e-20,3.1205e-18,1.7827e-22,2.6324000000000002e-20,1.5874e-38,1.0339000000000001e-19,7.5268e-23,1.8468e-22,1.9214e-18,1.4311e-10,6.190300000000001e-25,1.6489e-17,7.0715e-14,1.347e-10,1.2468e-28,1.6768999999999999e-21,4.8825e-34,4.0664e-07,5.6649e-17,1.6768999999999999e-21,5.4928000000000004e-30,5.6511000000000004e-24,3.3807e-31,2.7132e-15,33,1331.86,622671.0,87972900.0,5060800.0,0,1,,62267.1
35,1270.0,30000.0,0.1465,3.8872e-06,1.5698e-08,0.0012724,2.9269e-06,2.4418e-12,8.8658e-07,1.9509e-07,1.0745e-06,1.0434e-09,1.1916e-11,6.4028e-16,0.82868,1.5507e-13,3.6219e-05,6.299e-09,5.9546e-33,0.023096,4.1774e-10,1.6295e-20,4.9134e-08,1.9162e-08,9.437e-17,3.1536e-12,7.6359e-13,0.00039318,5.1842e-12,2.8181e-13,9.362e-10,1.6851e-15,1.4892999999999998e-21,1.3716e-08,2.2938e-20,3.0443e-17,2.7084e-19,2.3226e-18,2.6230000000000004e-19,5.0732e-13,3.3845e-08,3.3236999999999997e-21,4.6691e-19,1.6716e-23,2.1233999999999997e-21,4.1608e-40,7.1447e-21,8.591900000000001e-24,1.1177e-23,2.1579e-19,2.775e-11,1.3303e-25,1.388e-18,1.192e-14,2.4807e-11,4.6899000000000005e-30,1.686e-22,1.7562000000000002e-35,1.1836e-07,6.5221e-18,1.686e-22,2.8968000000000003e-31,6.450200000000001e-25,2.8914e-32,5.5676e-16,34,1272.49,499533.0,92920900.0,4835210.0,0,1,,49953.3
36,1220.0,30000.0,0.1148,3.1117e-06,2.2167e-08,0.0011633,1.0509e-06,9.1728e-13,7.1218e-07,1.4692e-07,8.5392e-07,2.9971e-10,1.6512e-12,8.9115e-17,0.85975,2.2785e-13,3.3842e-05,1.0462e-08,5.9022e-34,0.023959,1.1105e-10,2.6005e-21,4.4543e-08,1.1123e-08,2.5077e-17,8.6761e-13,2.0532e-13,0.00027544,4.2977e-12,4.3441e-13,5.4544e-10,9.0245e-16,2.8856e-22,4.926e-09,3.0429999999999996e-21,6.1625e-18,2.8089e-20,4.992200000000001e-19,1.2059e-19,1.3011e-13,1.053e-08,4.385599999999999e-22,7.688e-20,1.9396e-24,2.1468e-22,1.5207000000000002e-41,6.3378e-22,1.1960000000000001e-24,8.753e-25,2.9577e-20,6.2535e-12,3.2619e-26,1.4582e-19,2.3625e-15,5.3344e-12,2.3762e-31,2.0895e-23,8.562e-37,3.8568e-08,9.142300000000001e-19,2.0895e-23,1.975e-32,8.8823e-26,3.0653000000000002e-33,1.3066e-16,35,1215.02,400747.0,97646900.0,4616840.0,0,1,,40074.7
37,1160.0,30000.0,0.083221,2.3282e-06,3.4804e-08,0.00072537,2.847e-07,2.541e-13,4.1722e-07,7.9083e-08,4.937e-07,5.8106e-11,1.225e-13,6.6706e-18,0.70306,2.9698e-13,2.4142e-05,1.5849e-08,2.2172e-35,0.21279,5.6546e-11,6.795499999999999e-22,1.1422e-07,3.8197e-09,4.4026e-18,1.5931e-13,3.6651e-14,0.0001711,3.3483e-12,7.6058e-13,2.6647e-10,3.9587e-16,3.3309e-23,1.2801e-09,2.1311e-22,7.530800000000001e-19,1.4193e-21,6.611e-20,4.3159e-20,2.1725e-14,2.2677e-09,3.9288e-23,9.231199999999999e-21,1.1386e-25,1.0507e-23,1.9625e-43,2.6863e-23,8.9601e-26,3.0876e-26,2.1695999999999996e-21,8.8291e-13,5.1306e-27,7.508599999999999e-21,2.8116e-16,7.078e-13,4.7056e-33,1.342e-24,1.6156999999999999e-38,8.832e-09,6.9036e-20,1.342e-24,5.6411e-34,6.3991e-27,1.5674e-34,1.8971e-17,36,1159.42,321497.0,102158000.0,4405560.0,0,1,,32149.7
38,1110.0,30000.0,0.061878,1.7871e-06,5.2371e-08,0.00034433,9.4419e-08,7.8568e-14,2.3083e-07,4.0489e-08,2.7007e-07,1.2913e-11,1.1274e-14,6.204600000000001e-19,0.5272,3.43e-13,1.5982e-05,2.083e-08,9.9273e-37,0.41045,1.5544e-11,1.0164999999999999e-22,1.3837e-07,1.0508e-09,8.9584e-19,3.3758e-14,7.5747e-15,0.00010973,2.6509e-12,1.257e-12,1.3732e-10,1.8524e-16,4.5942e-24,3.7152e-10,1.8574e-23,1.0939000000000002e-19,9.153899999999999e-23,1.0354000000000001e-20,1.6706e-20,4.2071e-15,5.5479e-10,4.7731e-24,1.4684999999999998e-21,8.4332e-27,6.587800000000001e-25,3.6382000000000004e-45,1.8110000000000002e-24,8.3391e-27,1.4456e-27,1.9792999999999998e-22,1.4694e-13,9.3834e-28,4.9358e-22,3.9916e-17,1.1118e-13,1.2914e-34,1.0830000000000001e-25,4.249499999999999e-40,2.2864e-09,6.462e-21,1.0830000000000001e-25,1.8815000000000002e-35,4.985899999999999e-28,8.9277e-36,2.8097e-18,37,1105.66,257919.0,106462000.0,4201290.0,0,1,,25791.9
39,1050.0,30000.0,0.041657,1.259e-06,8.9198e-08,0.00016057,2.7392e-08,1.6609e-14,1.0393e-07,1.6449e-08,1.1991e-07,1.7553e-12,4.7586e-16,2.662e-20,0.35504,4.1045e-13,9.123e-06,2.9304e-08,1.5987e-38,0.60307,2.1976e-12,6.4319000000000004e-24,1.3982e-07,2.3818e-10,1.0874000000000002e-19,4.3208e-15,9.3792e-16,6.0206e-05,1.9276e-12,2.4036e-12,5.6435e-11,6.7143e-17,3.3046e-25,7.1738e-11,7.2629e-25,8.4226e-21,2.3962e-24,8.8343e-22,4.6837e-21,4.7557e-16,8.5579e-11,2.9488000000000003e-25,1.2984e-22,2.6524999999999996e-28,1.6623e-26,1.8281e-47,9.1068e-26,3.5754e-28,2.5044e-29,8.257900000000001e-24,1.3632e-14,9.7802e-29,1.3282e-23,2.9873e-18,9.5326e-15,1.0934e-36,3.8330000000000004e-27,3.4059e-42,3.8019e-10,2.7848999999999997e-22,3.8330000000000004e-27,1.3821e-37,1.1288e-29,1.3352e-37,1.4916000000000002e-19,38,1053.74,206914.0,110564000.0,4003990.0,0,1,,20691.4
40,1000.0,10000.0,0.086393,2.7304e-06,4.3336e-07,0.00024252,2.6687e-08,1.1853e-14,1.4717e-07,2.1182e-08,1.6779e-07,8.2996e-13,7.6277e-17,4.3401e-21,0.73009,1.4351e-12,1.6092e-05,1.1816e-07,1.042e-39,0.18316,2.8724e-13,4.0046000000000004e-25,1.1254e-07,1.8507e-10,4.648e-20,1.9387e-15,4.0768e-16,0.00010259,4.2651e-12,1.2895e-11,7.3646e-11,7.8133e-17,8.635e-26,4.6776e-11,1.0794e-25,2.3424999999999997e-21,2.4531e-25,2.7101e-22,4.274499999999999e-21,1.8923e-16,4.5434e-11,6.7903e-26,4.1678e-23,3.2161e-29,1.6454e-27,4.0696e-49,1.6975e-26,5.8142e-29,1.7695e-30,1.3085e-24,4.5321e-15,3.5885000000000004e-29,1.3983e-24,8.107700000000001e-19,2.9391e-15,3.9535999999999996e-38,5.2054e-28,1.1719e-43,2.1631e-10,4.5379e-23,5.2054e-28,4.3799e-39,1.0138e-30,8.1766e-39,2.9482e-20,39,1003.63,165995.0,114473000.0,3813570.0,0,1,,16599.5
41,960.0,10000.0,0.062381,2.0623e-06,6.6639e-07,0.00013456,1.0094e-08,3.3839e-15,7.592e-08,1.0056e-08,8.5726e-08,1.6425e-13,5.8241e-18,3.3816e-22,0.52034,1.6512e-12,1.0065e-05,1.5342e-07,3.6586000000000003e-41,0.41707,7.5753e-14,5.5503e-26,1.4684e-07,5.7548e-11,8.4836e-21,3.6821e-16,7.5188e-17,6.2336e-05,3.2913e-12,2.1694e-11,3.5589e-11,3.4334e-17,1.0214e-26,1.2271e-11,7.7582e-27,2.9185999999999996e-22,1.266e-26,3.691e-23,1.5186999999999998e-21,3.2287e-17,9.9606e-12,7.2519e-27,5.9658e-24,1.9365e-30,8.267800000000001e-29,5.5897e-51,1.4890000000000001e-27,4.5509e-30,6.6732e-32,9.9851e-26,6.609e-16,5.761200000000001e-30,7.4138e-26,9.8875e-20,4.0033e-16,8.2678e-40,3.4721e-29,2.3578e-45,5.0365e-11,3.5423e-24,3.4721e-29,8.1431e-41,4.699e-32,2.7183999999999997e-40,2.7206e-21,40,955.31,133169.0,118195000.0,3629980.0,0,1,,13316.9
42,910.0,10000.0,0.039719,1.431e-06,1.2965e-06,6.0668e-05,2.6898e-09,6.1197e-16,3.0852e-08,3.6458e-09,3.4413e-08,1.7521e-14,1.6273000000000002e-19,9.9426e-24,0.32324,2.1496e-12,5.3373e-06,2.3489e-07,3.8019e-43,0.63694,8.3406e-15,2.5854e-27,1.5286e-07,1.1766e-11,8.319599999999999e-22,3.7693e-17,7.3674e-18,3.181e-05,2.4608e-12,4.9531e-11,1.3552e-11,1.1741e-17,5.5632e-28,1.9537e-12,2.0853e-28,1.687e-23,2.11e-28,2.4302000000000003e-24,3.9399999999999997e-22,2.8647e-18,1.2342e-12,3.4534e-28,4.2936000000000005e-25,4.1313e-32,1.3479000000000001e-30,1.6023e-53,5.371200000000001e-29,1.4031000000000001e-31,7.4177e-34,2.9382e-27,4.6902e-17,5.0401e-31,1.2908e-27,5.5209999999999996e-21,2.5771e-17,4.1012e-42,8.5626e-31,1.1344e-47,6.7728e-12,1.0721e-25,8.5626e-31,3.4003e-43,6.9557e-34,2.5794e-42,1.0262e-22,41,908.769,106834.0,121736000.0,3453130.0,0,1,,10683.4
43,860.0,10000.0,0.02386,8.2899e-07,6.8353e-07,1.6695e-05,4.1177e-10,8.4862e-17,9.7028e-09,1.0095e-09,1.069e-08,1.5378e-15,3.9279999999999996e-21,2.2232e-25,0.18756,1.6452e-12,2.2649e-06,9.4042e-08,1.7526e-45,0.78855,7.1435e-16,7.419600000000001e-29,1.1389e-07,1.3486e-12,5.8514e-23,2.9721e-18,1.7148e-18,5.6698e-06,4.785e-13,1.035e-11,1.522e-12,1.0231e-18,1.7393e-29,2.3161e-13,3.3924000000000005e-30,6.022100000000001e-25,2.3021000000000002e-30,1.0140000000000001e-25,2.1867e-23,1.7832e-19,1.1936e-13,1.0152000000000001e-29,1.8695e-26,4.862e-34,1.3474e-32,1.7552000000000001e-56,3.0706e-31,2.5174e-33,4.9043e-36,5.3465e-29,2.4442e-18,8.356200000000001e-33,1.4916000000000002e-29,2.0439999999999998e-22,1.198e-18,1.02e-44,1.1913999999999999e-32,2.3838e-50,7.1671e-13,2.0047e-27,1.1913999999999999e-32,1.7063000000000002e-45,1.3390000000000002e-35,2.8287e-44,6.006e-24,42,863.985,85706.6,125104000.0,3282960.0,0,1,,8570.660000000002
44,820.0,10000.0,0.015106,3.9318e-07,2.665e-07,7.493e-06,1.0985e-10,1.2913e-17,2.647e-09,2.4599e-10,2.8879e-09,2.0146e-16,2.4159e-22,9.8749e-27,0.11456,4.5263e-13,8.0814e-07,2.856e-08,8.725200000000001e-48,0.87033,9.9774e-17,3.0351e-30,5.6502e-08,2.7995e-13,4.8944e-24,3.1288000000000003e-19,1.7249000000000002e-19,1.8418e-06,8.7781e-14,2.0649e-12,2.5326e-13,1.0502e-19,5.3856e-31,3.0337e-14,7.6196e-32,2.3847e-26,4.6938999999999997e-32,4.6467000000000004e-27,1.1536e-24,1.3261e-20,1.4942e-14,3.4377e-31,7.8778e-28,7.196499999999999e-36,2.2382e-34,2.4386e-59,5.7893000000000005e-33,5.4677e-35,5.7103e-38,1.3369e-30,1.773e-19,1.5146e-34,3.2198000000000003e-31,9.5608e-24,7.8131e-20,4.3473e-47,2.0563e-34,6.757799999999999e-53,9.7058e-14,5.1156e-29,2.0563e-34,7.8637e-48,1.7878e-37,2.0154999999999997e-46,2.4499e-25,43,820.934,68757.6,128305000.0,3119370.0,0,1,,6875.760000000001
45,780.0,3000.0,0.030275,5.7641e-07,3.1302e-07,1.0345e-05,8.5496e-11,5.4118e-18,2.0871e-09,1.7125e-10,2.255e-09,7.1168e-17,3.6948e-23,1.0599e-27,0.21965,3.6224e-13,8.5897e-07,2.5342e-08,8.392899999999999e-50,0.75006,1.8216e-17,1.438e-31,4.1833e-08,1.6635e-13,1.0658000000000001e-24,8.7562e-20,4.5948e-20,1.7575e-06,4.4929e-14,1.1544e-12,1.1598e-13,2.8365e-20,3.8766e-32,1.0674e-14,3.8364e-33,2.2447e-27,2.1151e-33,5.1728e-28,1.4913e-25,2.5121e-21,5.0182e-15,2.7625e-32,8.063600000000001e-29,2.2886e-37,8.068e-36,5.7366e-62,2.391e-34,2.6797e-36,1.4074e-39,7.6323e-32,3.2744e-20,6.0559e-36,1.5528e-32,1.0837e-24,1.2765e-20,3.519e-49,7.7872e-36,3.5032e-55,3.5498e-14,2.9742e-30,7.7872e-36,6.968399999999999e-50,5.1241e-39,2.8985e-48,2.4022999999999998e-26,44,779.596,55160.3,131346000.0,2962300.0,0,1,,5516.03
46,740.0,3000.0,0.017133,2.3209e-07,9.802e-08,3.897e-06,1.707e-11,5.450300000000001e-19,4.1816e-10,2.989e-11,4.4749e-10,5.8946e-18,1.2063e-24,2.3488000000000002e-29,0.11792,7.4119e-14,2.4048e-07,5.7935e-09,1.2855999999999999e-52,0.86494,1.6503e-18,2.9372e-33,1.7901e-08,2.4789e-14,5.2182e-26,5.645599999999999e-21,2.8069999999999997e-21,4.3469e-07,5.6107e-15,1.5837e-13,1.2762e-14,1.7466e-21,5.5065e-34,8.7667e-16,3.6544e-35,4.2783000000000004e-29,1.7738000000000002e-35,1.1956000000000001e-29,4.0443000000000004e-27,1.0441e-22,3.9265e-16,4.4807e-34,1.7112e-30,1.3112e-39,5.3012e-38,1.8430999999999998e-65,1.8214e-36,2.5019e-38,6.135e-42,8.4128e-34,1.3251999999999998e-21,4.4937e-38,1.4111e-34,2.5419e-26,4.4842e-22,4.4429999999999995e-52,5.4391e-38,2.7105e-58,3.0471e-15,3.331e-32,5.4391e-38,9.7633e-53,2.6387e-41,6.9721e-51,4.8266e-28,45,739.962,44252.0,134233000.0,2811700.0,0,1,,4425.2
47,700.0,3000.0,0.009023,8.4176e-08,2.6711e-08,1.3116e-06,2.8332e-12,4.2308e-20,6.8958e-11,4.2274e-12,7.311e-11,3.657e-19,2.6459e-26,3.3621000000000003e-31,0.058469,1.2546e-14,5.7868e-08,1.1101e-09,9.387200000000001e-56,0.93251,1.0862e-19,3.6955000000000004e-35,6.6364e-09,2.9829e-15,1.8171000000000002e-27,2.6629e-22,1.2477999999999998e-22,9.0712e-08,5.5005e-16,1.7193e-14,1.0836e-15,7.8044e-23,4.7867999999999995e-36,5.362e-17,2.0283999999999998e-37,5.1419e-31,8.5047e-38,1.7946e-31,7.2133e-29,3.0057e-24,2.2825e-17,4.5573e-36,2.348e-32,4.1418e-42,1.9476e-40,2.3594e-69,7.8674e-39,1.3698999999999999e-40,1.4375e-44,5.5236e-36,3.7058e-23,1.8976999999999997e-40,7.4362e-37,3.8535999999999996e-28,1.0647999999999999e-23,2.6064e-55,2.1468e-40,9.2509e-62,1.959e-16,2.2174e-34,2.1468e-40,6.4475e-56,7.435199999999999e-44,8.4402e-54,6.188e-30,46,702.001,35500.9,136973000.0,2667450.0,0,1,,3550.09
